Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,01-03-2022,32.3182,-86.9023,913603,16455,0.0,0.0,1.0,18632.84783258229,6576775.0,0.0,1.801110548017027,84000001.0,USA,134132.7116965809,0.0,2022-01-03,0.0,0.0
Alaska,US,01-03-2022,61.3707,-152.4044,160089,979,0.0,0.0,2.0,21883.684530685056,3685702.0,0.0,0.6115348337487273,84000002.0,USA,503824.3717064569,0.0,2022-01-03,0.0,0.0
American Samoa,US,01-03-2022,-14.271,-170.132,10,0,0.0,0.0,60.0,17.97235851260761,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2022-01-03,0.0,0.0
Arizona,US,01-03-2022,33.7298,-111.4312,1404601,24355,0.0,0.0,4.0,19297.37067672778,15718265.0,0.0,1.733944372814771,84000004.0,USA,215948.2914365265,0.0,2022-01-03,0.0,0.0
Arkansas,US,01-03-2022,34.9697,-92.3731,574572,9221,0.0,0.0,5.0,19039.40746317521,4449119.0,0.0,1.6048467380937463,84000005.0,USA,147429.02454897668,0.0,2022-01-03,0.0,0.0
California,US,01-03-2022,36.1162,-119.6816,5709286,76505,0.0,0.0,6.0,14446.762461327471,120326595.0,0.0,1.3408693437220631,84000006.0,USA,304530.0564334232,0.0,2022-01-03,0.0,0.0
Colorado,US,01-03-2022,39.0598,-105.3111,954499,10293,0.0,0.0,8.0,16574.800442319287,14205459.0,0.0,1.0783667662302423,84000008.0,USA,246676.6839111916,0.0,2022-01-03,0.0,0.0
Connecticut,US,01-03-2022,41.5978,-72.7554,533866,9210,0.0,0.0,9.0,14973.997885724208,11944654.0,0.0,1.72515200443557,84000009.0,USA,335026.4368618852,0.0,2022-01-03,0.0,0.0
Delaware,US,01-03-2022,39.3185,-75.5071,189382,2286,0.0,0.0,10.0,19448.44952165001,2757728.0,0.0,1.2070840945813224,84000010.0,USA,283202.91158843413,0.0,2022-01-03,0.0,0.0
Diamond Princess,US,01-03-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2022-01-03,0.0,0.0
District of Columbia,US,01-03-2022,38.8974,-77.0268,103487,1218,0.0,0.0,11.0,14663.42849936734,2665457.0,0.0,1.176959424855296,84000011.0,USA,377677.7579564406,0.0,2022-01-03,0.0,0.0
Florida,US,01-03-2022,27.7663,-81.6868,4209927,62504,0.0,0.0,12.0,19601.352786841555,46969859.0,0.0,1.484681325828215,84000012.0,USA,218690.91236194948,0.0,2022-01-03,0.0,0.0
Georgia,US,01-03-2022,33.0406,-83.6431,1839879,31443,0.0,0.0,13.0,17328.86595928221,14077689.0,0.0,1.708971079076396,84000013.0,USA,132590.45062064493,0.0,2022-01-03,0.0,0.0
Grand Princess,US,01-03-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2022-01-03,0.0,0.0
Guam,US,01-03-2022,13.4443,144.7937,19689,273,0.0,0.0,66.0,11988.74741976143,275347.0,0.0,1.386561023921987,316.0,GUM,167660.40102539747,0.0,2022-01-03,0.0,0.0
Hawaii,US,01-03-2022,21.0943,-157.4983,121864,1094,0.0,0.0,15.0,8606.99272250599,3059516.0,0.0,0.8977220508107399,84000015.0,USA,216087.0474167156,0.0,2022-01-03,0.0,0.0
Idaho,US,01-03-2022,44.2405,-114.4788,320802,4169,0.0,0.0,16.0,17951.333611256447,1088283.0,0.0,1.2995554890555543,84000016.0,USA,60897.78491548992,0.0,2022-01-03,0.0,0.0
