Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,06-08-2021,32.3182,-86.9023,546540,11220,0.0,0.0,1.0,11146.632240064366,4679457.0,0.0,2.0529146997475025,84000001.0,USA,95437.08834155758,0.0,2021-06-08,0.0,0.0
Alaska,US,06-08-2021,61.3707,-152.4044,70520,369,0.0,0.0,2.0,9639.871778222803,2300710.0,0.0,0.5232558139534884,84000002.0,USA,314500.13327956584,0.0,2021-06-08,0.0,0.0
American Samoa,US,06-08-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-06-08,0.0,0.0
Arizona,US,06-08-2021,33.7298,-111.4312,884609,17713,0.0,0.0,4.0,12153.364391004625,9827901.0,0.0,2.002353582204115,84000004.0,USA,135022.43595952418,0.0,2021-06-08,0.0,0.0
Arkansas,US,06-08-2021,34.9697,-92.3731,342726,5852,0.0,0.0,5.0,11356.801170652569,3069231.0,0.0,1.7074864468992723,84000005.0,USA,101704.1199494732,0.0,2021-06-08,0.0,0.0
California,US,06-08-2021,36.1162,-119.6816,3862700,62590,0.0,0.0,6.0,9777.607298885714,66762795.0,0.0,1.6197859370753362,84000006.0,USA,168967.44837667068,0.0,2021-06-08,0.0,0.0
Colorado,US,06-08-2021,39.0598,-105.3111,547791,6639,0.0,0.0,8.0,9512.347848555655,8720145.0,0.0,1.2119585754420938,84000008.0,USA,151424.63554502238,0.0,2021-06-08,0.0,0.0
Connecticut,US,06-08-2021,41.5978,-72.7554,348154,8255,0.0,0.0,9.0,9765.104464240889,8559643.0,0.0,2.37107716700081,84000009.0,USA,240082.8600895244,0.0,2021-06-08,0.0,0.0
Delaware,US,06-08-2021,39.3185,-75.5071,109188,1677,0.0,0.0,10.0,11212.983844134718,1860542.0,0.0,1.535883064072975,84000010.0,USA,191067.0347229924,0.0,2021-06-08,0.0,0.0
Diamond Princess,US,06-08-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-06-08,0.0,0.0
