Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,03-22-2022,32.3182,-86.9023,1291761,19139,0.0,0.0,1.0,26345.34491356129,7390573.0,0.0,1.4816208261435355,84000001.0,USA,150730.04587834235,0.0,2022-03-22,0.0,0.0
Alaska,US,03-22-2022,61.3707,-152.4044,245251,1202,0.0,0.0,2.0,33525.073645503704,0.0,0.0,0.4901101320687785,84000002.0,USA,0.0,0.0,2022-03-22,0.0,0.0
American Samoa,US,03-22-2022,-14.271,-170.132,1556,0,0.0,0.0,60.0,2796.498984561744,0.0,0.0,0.0,16.0,ASM,0.0,0.0,2022-03-22,0.0,0.0
Arizona,US,03-22-2022,33.7298,-111.4312,1992471,28547,0.0,0.0,4.0,27373.93142225477,18577223.0,0.0,1.4327435631434535,84000004.0,USA,255226.61480038307,0.0,2022-03-22,0.0,0.0
Arkansas,US,03-22-2022,34.9697,-92.3731,831698,11127,0.0,0.0,5.0,27559.70898043743,5036838.0,0.0,1.3378654271141688,84000005.0,USA,166904.07992036597,0.0,2022-03-22,0.0,0.0
California,US,03-22-2022,36.1162,-119.6816,9083512,88193,0.0,0.0,6.0,22970.86144710208,153012082.0,0.0,0.972323738158443,84000006.0,USA,387252.52689528506,0.0,2022-03-22,0.0,0.0
Colorado,US,03-22-2022,39.0598,-105.3111,1335776,11933,0.0,0.0,8.0,23195.64571114217,16935066.0,0.0,0.8933384040437917,84000008.0,USA,294076.0958654816,0.0,2022-03-22,0.0,0.0
Connecticut,US,03-22-2022,41.5978,-72.7554,732932,10742,0.0,0.0,9.0,20557.447408862176,13536731.0,0.0,1.465620275823678,84000009.0,USA,379681.38329396775,0.0,2022-03-22,0.0,0.0
Delaware,US,03-22-2022,39.3185,-75.5071,258737,2835,0.0,0.0,10.0,26570.81181888013,3184698.0,0.0,1.095707223937821,84000010.0,USA,327050.29144638736,0.0,2022-03-22,0.0,0.0
Diamond Princess,US,03-22-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2022-03-22,0.0,0.0
District of Columbia,US,03-22-2022,38.8974,-77.0268,135955,1329,0.0,0.0,11.0,19075.195288976684,0.0,0.0,0.9797731442621246,84000011.0,USA,0.0,0.0,2022-03-22,0.0,0.0
Florida,US,03-22-2022,27.7663,-81.6868,5868263,72828,0.0,0.0,12.0,27322.538682729937,55386555.0,0.0,1.2410486714722908,84000012.0,USA,257878.9143381353,0.0,2022-03-22,0.0,0.0
Georgia,US,03-22-2022,33.0406,-83.6431,2483910,36615,0.0,0.0,13.0,23394.65989063448,17138470.0,0.0,1.4740872253825617,84000013.0,USA,161418.35923839526,0.0,2022-03-22,0.0,0.0
Grand Princess,US,03-22-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2022-03-22,0.0,0.0
Guam,US,03-22-2022,13.4443,144.7937,46893,341,0.0,0.0,66.0,28553.42235536964,371534.0,0.0,0.7271874266948158,316.0,GUM,226229.2286989509,0.0,2022-03-22,0.0,0.0
Hawaii,US,03-22-2022,21.0943,-157.4983,238764,1368,0.0,0.0,15.0,16863.38878090675,3680142.0,0.0,0.5729506960848371,84000015.0,USA,259920.5295393933,0.0,2022-03-22,0.0,0.0
Idaho,US,03-22-2022,44.2405,-114.4788,443035,4861,0.0,0.0,16.0,24791.207930321503,1205711.0,0.0,1.0972045098017087,84000016.0,USA,67468.78261283165,0.0,2022-03-22,0.0,0.0
Illinois,US,03-22-2022,40.3495,-88.9861,3057085,37523,0.0,0.0,17.0,24125.00934159345,56555145.0,0.0,1.1675528069614187,84000017.0,USA,446306.37538203865,0.0,2022-03-22,0.0,0.0
Indiana,US,03-22-2022,39.8494,-86.2583,1689360,23309,0.0,0.0,18.0,25093.65782663933,19288488.0,0.0,1.3797532793483922,84000018.0,USA,286510.10907399177,0.0,2022-03-22,0.0,0.0
Iowa,US,03-22-2022,42.0115,-93.2105,757807,9349,0.0,0.0,19.0,24018.70639954105,0.0,0.0,1.2336914280285085,84000019.0,USA,0.0,0.0,2022-03-22,0.0,0.0
Kansas,US,03-22-2022,38.5266,-96.7265,770054,8150,0.0,0.0,20.0,26432.23490499136,2263436.0,0.0,1.0583673352777858,84000020.0,USA,77692.82679450276,0.0,2022-03-22,0.0,0.0
Kentucky,US,03-22-2022,37.6681,-84.6701,1306877,14659,0.0,0.0,21.0,29251.849900384383,0.0,0.0,1.1216816884833078,84000021.0,USA,0.0,0.0,2022-03-22,0.0,0.0
Louisiana,US,03-22-2022,31.1695,-91.8678,1231393,17034,0.0,0.0,22.0,25115.18041023112,12982163.0,0.0,1.4589487586430765,84000022.0,USA,279258.7281776736,0.0,2022-03-22,0.0,0.0
Maine,US,03-22-2022,44.6939,-69.3819,233968,2188,0.0,0.0,23.0,17405.587809065833,3916212.0,0.0,0.93517062162347,84000023.0,USA,291338.8661907497,0.0,2022-03-22,0.0,0.0
Maryland,US,03-22-2022,39.0639,-76.8021,1009097,14303,0.0,0.0,24.0,16691.207606092285,19343258.0,0.0,1.4174058589015723,84000024.0,USA,319951.7341308173,0.0,2022-03-22,0.0,0.0
Massachusetts,US,03-22-2022,42.2302,-71.5301,1688534,20056,0.0,0.0,25.0,24498.12499174828,41798499.0,0.0,1.1877759050158303,84000025.0,USA,606434.2518240471,0.0,2022-03-22,0.0,0.0
Michigan,US,03-22-2022,43.3266,-84.5361,2380155,35425,0.0,0.0,26.0,23832.87354570112,23233699.0,0.0,1.4883484478952,84000026.0,USA,232642.7523694392,0.0,2022-03-22,0.0,0.0
Minnesota,US,03-22-2022,45.6945,-93.9002,1426056,12550,0.0,0.0,27.0,25286.330739310648,16143750.0,0.0,0.880049591320397,84000027.0,USA,286255.37978364545,0.0,2022-03-22,0.0,0.0
