Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,04-30-2021,32.3182,-86.9023,527922,10896,0.0,0.0,1.0,10766.919869431807,4474791.0,0.0,2.063941264050371,84000001.0,USA,91262.94439226748,0.0,2021-04-30,0.0,0.0
Alaska,US,04-30-2021,61.3707,-152.4044,68148,347,0.0,0.0,2.0,9315.62651648224,2091352.0,0.0,0.5091858895345425,84000002.0,USA,285881.52471823327,0.0,2021-04-30,0.0,0.0
American Samoa,US,04-30-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-04-30,0.0,0.0
Arizona,US,04-30-2021,33.7298,-111.4312,862497,17324,0.0,0.0,4.0,11849.574588488604,9144036.0,0.0,2.0085866965334374,84000004.0,USA,125627.03014830772,0.0,2021-04-30,0.0,0.0
Arkansas,US,04-30-2021,34.9697,-92.3731,335725,5739,0.0,0.0,5.0,11124.811286617689,2969063.0,0.0,1.7094348052721722,84000005.0,USA,98384.8851681554,0.0,2021-04-30,0.0,0.0
California,US,04-30-2021,36.1162,-119.6816,3805244,60876,0.0,0.0,6.0,9632.178882975022,59795197.0,0.0,1.5945293187818457,84000006.0,USA,151333.41649747218,0.0,2021-04-30,0.0,0.0
Colorado,US,04-30-2021,39.0598,-105.3111,510966,6295,0.0,0.0,8.0,8872.884605232815,7780662.0,0.0,1.2319802100335444,84000008.0,USA,135110.58676765178,0.0,2021-04-30,0.0,0.0
Connecticut,US,04-30-2021,41.5978,-72.7554,339233,8097,0.0,0.0,9.0,9514.88617886863,8021441.0,0.0,2.386855052427093,84000009.0,USA,224987.24506610548,0.0,2021-04-30,0.0,0.0
Delaware,US,04-30-2021,39.3185,-75.5071,104405,1625,0.0,0.0,10.0,10721.797067872709,1713341.0,0.0,1.5564388678703127,84000010.0,USA,175950.3329348795,0.0,2021-04-30,0.0,0.0
Diamond Princess,US,04-30-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-04-30,0.0,0.0
