Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,09-12-2020,32.3182,-86.9023,137166,2350,54223.0,80593.0,1.0,2797.4877554079644,0.0,0.0,0.0,84000001.0,USA,33544.09429789004,0.0,2020-09-12,1644729.0,1.71325255529796
Alaska,US,09-12-2020,61.3707,-152.4044,6254,44,2377.0,3833.0,2.0,854.9029793109105,0.0,0.0,0.0,84000002.0,USA,54628.08166278218,0.0,2020-09-12,399629.0,0.7035497281739687
American Samoa,US,09-12-2020,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,16.0,ASM,2823.457522330656,0.0,2020-09-12,1571.0,0.0
Arizona,US,09-12-2020,33.7298,-111.4312,208128,5315,32628.0,170185.0,4.0,2859.4050297600525,0.0,0.0,0.0,84000004.0,USA,17705.44176947668,0.0,2020-09-12,1924587.0,2.5537169434194342
Arkansas,US,09-12-2020,34.9697,-92.3731,69710,969,62622.0,6119.0,5.0,2309.9578368906664,0.0,0.0,0.0,84000005.0,USA,27172.076118926205,0.0,2020-09-12,820000.0,1.390044469946923
California,US,09-12-2020,36.1162,-119.6816,761105,14246,0.0,0.0,6.0,1926.1887644236065,0.0,0.0,0.0,84000006.0,USA,31779.955787352184,0.0,2020-09-12,12556967.0,1.8623534976612184
Colorado,US,09-12-2020,39.0598,-105.3111,60896,1988,6139.0,52769.0,8.0,1057.4542746880566,0.0,0.0,0.0,84000008.0,USA,19066.42360406867,0.0,2020-09-12,1097985.0,3.2645822385706778
Connecticut,US,09-12-2020,41.5978,-72.7554,54326,4480,9142.0,40704.0,9.0,1523.748298524074,0.0,0.0,0.0,84000009.0,USA,37331.74916914122,0.0,2020-09-12,1330984.0,8.246511799138535
Delaware,US,09-12-2020,39.3185,-75.5071,18726,630,10063.0,8033.0,10.0,1923.0532243952327,0.0,0.0,0.0,84000010.0,USA,26657.89657452936,0.0,2020-09-12,259585.0,3.364306312079462
Diamond Princess,US,09-12-2020,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2020-09-12,0.0,0.0
District of Columbia,US,09-12-2020,38.8974,-77.0268,14493,616,11561.0,2316.0,11.0,2053.5629522677327,0.0,0.0,0.0,84000011.0,USA,46395.67324927133,0.0,2020-09-12,327437.0,4.250327744428345
Florida,US,09-12-2020,27.7663,-81.6868,661571,12600,0.0,0.0,12.0,3080.263996155647,0.0,0.0,0.0,84000012.0,USA,40815.896944822445,0.0,2020-09-12,8766331.0,1.9045574851376497
Georgia,US,09-12-2020,33.0406,-83.6431,292905,6287,0.0,0.0,13.0,2758.720265736799,0.0,0.0,0.0,84000013.0,USA,24583.8467582953,0.0,2020-09-12,2610171.0,2.146429729775866
Grand Princess,US,09-12-2020,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,84099999.0,USA,0.0,0.0,2020-09-12,0.0,2.912621359223301
Guam,US,09-12-2020,13.4443,144.7937,1863,23,1118.0,722.0,66.0,1134.3916117129131,0.0,0.0,0.0,316.0,GUM,26403.98467992864,0.0,2020-09-12,43363.0,1.2345679012345678
Hawaii,US,09-12-2020,21.0943,-157.4983,10588,97,3334.0,7157.0,15.0,747.8077114315419,0.0,0.0,0.0,84000015.0,USA,17659.717827600234,0.0,2020-09-12,250039.0,0.9161314695882132
Idaho,US,09-12-2020,44.2405,-114.4788,35167,415,18052.0,16700.0,16.0,1967.8635080425167,0.0,0.0,0.0,84000016.0,USA,15422.494425216764,0.0,2020-09-12,275610.0,1.1800836011033071
Illinois,US,09-12-2020,40.3495,-88.9861,261999,8527,0.0,0.0,17.0,2067.5718193935977,0.0,0.0,0.0,84000017.0,USA,37019.70695450954,0.0,2020-09-12,4691071.0,3.25459257478082
Indiana,US,09-12-2020,39.8494,-86.2583,104561,3392,81089.0,20080.0,18.0,1553.1431761206818,0.0,0.0,0.0,84000018.0,USA,17928.412608086575,0.0,2020-09-12,1206980.0,3.2440393645814405
Iowa,US,09-12-2020,42.0115,-93.2105,74205,1218,52953.0,20034.0,19.0,2351.928800311879,0.0,0.0,0.0,84000019.0,USA,21517.430675072184,0.0,2020-09-12,678890.0,1.641398827572266
Kansas,US,09-12-2020,38.5266,-96.7265,48621,527,1859.0,46235.0,20.0,1668.924118718408,0.0,0.0,0.0,84000020.0,USA,15409.598828001375,0.0,2020-09-12,448930.0,1.0838937907488533
Kentucky,US,09-12-2020,37.6681,-84.6701,56415,1057,10872.0,44486.0,21.0,1262.7378950966197,0.0,0.0,0.0,84000021.0,USA,20821.17469206005,0.0,2020-09-12,930222.0,1.8736151732695203
Louisiana,US,09-12-2020,31.1695,-91.8678,156174,5202,140440.0,10532.0,22.0,3359.4519352761167,0.0,0.0,0.0,84000022.0,USA,43834.01372484993,0.0,2020-09-12,2037753.0,3.3309001498328787
Maine,US,09-12-2020,44.6939,-69.3819,4834,135,4211.0,488.0,23.0,359.61589392149455,0.0,0.0,0.0,84000023.0,USA,24177.957048441764,0.0,2020-09-12,325003.0,2.7927182457592057
Maryland,US,09-12-2020,39.0639,-76.8021,115533,3836,7221.0,104476.0,24.0,1911.000913048656,0.0,0.0,0.0,84000024.0,USA,23892.299956332456,0.0,2020-09-12,1444452.0,3.32026347450512
Massachusetts,US,09-12-2020,42.2302,-71.5301,124540,8377,107501.0,7843.0,25.0,1806.8907623253845,0.0,0.0,0.0,84000025.0,USA,43071.76942831944,0.0,2020-09-12,2968723.0,7.383973020716236
