Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,05-12-2021,32.3182,-86.9023,531751,10997,0.0,0.0,1.0,10845.011966711434,4545959.0,0.0,2.068073214718919,84000001.0,USA,92714.4091034705,0.0,2021-05-12,0.0,0.0
Alaska,US,05-12-2021,61.3707,-152.4044,69267,353,0.0,0.0,2.0,9468.590448981266,2173168.0,0.0,0.509622186611229,84000002.0,USA,297065.52570245165,0.0,2021-05-12,0.0,0.0
American Samoa,US,05-12-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-05-12,0.0,0.0
Arizona,US,05-12-2021,33.7298,-111.4312,870624,17430,0.0,0.0,4.0,11961.228881408631,9381204.0,0.0,2.0020123497629285,84000004.0,USA,128885.4065901999,0.0,2021-05-12,0.0,0.0
Arkansas,US,05-12-2021,34.9697,-92.3731,338043,5777,0.0,0.0,5.0,11201.622106670944,3003648.0,0.0,1.7089541863017428,84000005.0,USA,99530.9171834884,0.0,2021-05-12,0.0,0.0
California,US,05-12-2021,36.1162,-119.6816,3826500,61467,0.0,0.0,6.0,9685.977425264076,62201980.0,0.0,1.604694883522835,84000006.0,USA,157424.65312569228,0.0,2021-05-12,0.0,0.0
Colorado,US,05-12-2021,39.0598,-105.3111,526687,6402,0.0,0.0,8.0,9145.878540012947,8088922.0,0.0,1.2155226918454414,84000008.0,USA,140463.49754529467,0.0,2021-05-12,0.0,0.0
Connecticut,US,05-12-2021,41.5978,-72.7554,344141,8161,0.0,0.0,9.0,9652.546905761024,8203926.0,0.0,2.371411717871454,84000009.0,USA,230105.62684013945,0.0,2021-05-12,0.0,0.0
Delaware,US,05-12-2021,39.3185,-75.5071,106455,1644,0.0,0.0,10.0,10932.320356883189,1772113.0,0.0,1.54431449908412,84000010.0,USA,181985.88158937896,0.0,2021-05-12,0.0,0.0
Diamond Princess,US,05-12-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-05-12,0.0,0.0
District of Columbia,US,05-12-2021,38.8974,-77.0268,48336,1115,0.0,0.0,11.0,6848.893870200312,1560061.0,0.0,2.306769281694803,84000011.0,USA,221050.4017717347,0.0,2021-05-12,0.0,0.0
