Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,05-06-2022,32.3182,-86.9023,1302397,19601,0.0,0.0,1.0,26562.26513990396,7621478.0,0.0,1.5049942529044524,84000001.0,USA,155439.33178128095,0.0,2022-05-06,0.0,0.0
Alaska,US,05-06-2022,61.3707,-152.4044,254466,1253,0.0,0.0,2.0,34784.736414027844,0.0,0.0,0.4924037002978787,84000002.0,USA,0.0,0.0,2022-05-06,0.0,0.0
American Samoa,US,05-06-2022,-14.271,-170.132,5923,28,0.0,0.0,60.0,10645.027947017486,0.0,0.0,0.4727334121222353,16.0,ASM,0.0,0.0,2022-05-06,0.0,0.0
Arizona,US,05-06-2022,33.7298,-111.4312,2025435,30189,0.0,0.0,4.0,27826.813434290685,19289892.0,0.0,1.4904946344859251,84000004.0,USA,265017.7496940738,0.0,2022-05-06,0.0,0.0
Arkansas,US,05-06-2022,34.9697,-92.3731,836829,11404,0.0,0.0,5.0,27729.73327624988,5126657.0,0.0,1.3627634797551231,84000005.0,USA,169880.38321905598,0.0,2022-05-06,0.0,0.0
California,US,05-06-2022,36.1162,-119.6816,9293891,90497,0.0,0.0,6.0,23507.391624105785,161974178.0,0.0,0.974312502846325,84000006.0,USA,409934.3587932271,0.0,2022-05-06,0.0,0.0
Colorado,US,05-06-2022,39.0598,-105.3111,1389827,12487,0.0,0.0,8.0,24134.23709647395,17482651.0,0.0,0.8984571461052346,84000008.0,USA,303584.8665401574,0.0,2022-05-06,0.0,0.0
Connecticut,US,05-06-2022,41.5978,-72.7554,766172,10874,0.0,0.0,9.0,21489.77066923364,14038264.0,0.0,1.4192635596184668,84000009.0,USA,393748.4976665273,0.0,2022-05-06,0.0,0.0
Delaware,US,05-06-2022,39.3185,-75.5071,264376,2928,0.0,0.0,10.0,27149.90490508994,3286478.0,0.0,1.1075135413199382,84000010.0,USA,337502.51601003937,0.0,2022-05-06,0.0,0.0
Diamond Princess,US,05-06-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2022-05-06,0.0,0.0
District of Columbia,US,05-06-2022,38.8974,-77.0268,141943,1340,0.0,0.0,11.0,20112.39123257702,0.0,0.0,0.9440409178332148,84000011.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Florida,US,05-06-2022,27.7663,-81.6868,6002153,74060,0.0,0.0,12.0,27945.92838156087,57284048.0,0.0,1.2338905722663185,84000012.0,USA,266713.6114014246,0.0,2022-05-06,0.0,0.0
Georgia,US,05-06-2022,33.0406,-83.6431,2521664,37969,0.0,0.0,13.0,23750.245233706897,17954625.0,0.0,1.505712101215705,84000013.0,USA,169105.29984535795,0.0,2022-05-06,0.0,0.0
Grand Princess,US,05-06-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Guam,US,05-06-2022,13.4443,144.7937,48323,355,0.0,0.0,66.0,29424.157730973213,392179.0,0.0,0.7346398195476275,316.0,GUM,238800.09011806684,0.0,2022-05-06,0.0,0.0
Hawaii,US,05-06-2022,21.0943,-157.4983,252654,1428,0.0,0.0,15.0,17844.409664150433,3848436.0,0.0,0.5651998385143319,84000015.0,USA,271806.77349364915,0.0,2022-05-06,0.0,0.0
Idaho,US,05-06-2022,44.2405,-114.4788,446856,4928,0.0,0.0,16.0,25005.022201207008,1222382.0,0.0,1.1028161197343216,84000016.0,USA,68401.65298967861,0.0,2022-05-06,0.0,0.0
Illinois,US,05-06-2022,40.3495,-88.9861,3169327,37956,0.0,0.0,17.0,25010.7305019539,0.0,0.0,1.1388265287609467,84000017.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Indiana,US,05-06-2022,39.8494,-86.2583,1707085,23614,0.0,0.0,18.0,25356.943973450656,19704259.0,0.0,1.3832937434281245,84000018.0,USA,292685.94797643984,0.0,2022-05-06,0.0,0.0
Iowa,US,05-06-2022,42.0115,-93.2105,765490,9533,0.0,0.0,19.0,24262.21922176053,0.0,0.0,1.2453461181726737,84000019.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Kansas,US,05-06-2022,38.5266,-96.7265,778729,8691,0.0,0.0,20.0,26730.005759763622,0.0,0.0,1.1160493573502464,84000020.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Kentucky,US,05-06-2022,37.6681,-84.6701,1331403,15670,0.0,0.0,21.0,29800.8157714318,0.0,0.0,1.1769539350594824,84000021.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Louisiana,US,05-06-2022,31.1695,-91.8678,1240538,17276,0.0,0.0,22.0,25285.26753390234,13506993.0,0.0,1.4697224916203018,84000022.0,USA,290548.322855347,0.0,2022-05-06,0.0,0.0
Maine,US,05-06-2022,44.6939,-69.3819,249728,2316,0.0,0.0,23.0,18578.02191916156,4196423.0,0.0,0.9274090210148642,84000023.0,USA,312184.61076080264,0.0,2022-05-06,0.0,0.0
Maryland,US,05-06-2022,39.0639,-76.8021,1039776,14486,0.0,0.0,24.0,17198.66086197086,20347521.0,0.0,1.393184685932355,84000024.0,USA,336562.98381654336,0.0,2022-05-06,0.0,0.0
Massachusetts,US,05-06-2022,42.2302,-71.5301,1779829,20334,0.0,0.0,25.0,25822.680091688027,43962101.0,0.0,1.1424693046354453,84000025.0,USA,637824.909180308,0.0,2022-05-06,0.0,0.0
Michigan,US,05-06-2022,43.3266,-84.5361,2444891,36064,0.0,0.0,26.0,24481.08549066037,24118871.0,0.0,1.4750759849825616,84000026.0,USA,241506.12149548152,0.0,2022-05-06,0.0,0.0
Minnesota,US,05-06-2022,45.6945,-93.9002,1463955,12805,0.0,0.0,27.0,25958.34267200413,0.0,0.0,0.8746853557657168,84000027.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Mississippi,US,05-06-2022,32.7416,-89.6787,798721,12454,0.0,0.0,28.0,26837.39960600091,0.0,0.0,1.559242839489634,84000028.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Missouri,US,05-06-2022,38.4561,-92.2884,1436286,20554,0.0,0.0,29.0,23185.950205851703,0.0,0.0,1.4214828874626586,84000029.0,USA,0.0,0.0,2022-05-06,0.0,0.0
Montana,US,05-06-2022,46.9219,-110.4544,274598,3378,0.0,0.0,30.0,25692.706998085665,2848100.0,0.0,1.2301619094093912,84000030.0,USA,266481.9073745904,0.0,2022-05-06,0.0,0.0
Nebraska,US,05-06-2022,41.1254,-98.2681,480805,4216,0.0,0.0,31.0,24855.40795943772,5481264.0,0.0,0.8768627614105511,84000031.0,USA,283356.14823760034,0.0,2022-05-06,0.0,0.0
Nevada,US,05-06-2022,38.3135,-117.0554,714715,10780,0.0,0.0,32.0,23203.85720723236,0.0,0.0,1.5082935155971262,84000032.0,USA,0.0,0.0,2022-05-06,0.0,0.0
New Hampshire,US,05-06-2022,43.4525,-71.5639,313288,2487,0.0,0.0,33.0,23040.77851837633,3763981.0,0.0,0.793838257450014,84000033.0,USA,276822.13352690387,0.0,2022-05-06,0.0,0.0
New Jersey,US,05-06-2022,40.2989,-74.521,2281655,33482,0.0,0.0,34.0,25687.977852308948,17976761.0,0.0,1.4674435880972363,84000034.0,USA,202391.08823387025,0.0,2022-05-06,0.0,0.0
New Mexico,US,05-06-2022,34.8405,-106.2485,523940,7556,0.0,0.0,35.0,24987.25456391532,7036024.0,0.0,1.4421498644883002,84000035.0,USA,335555.4506352211,0.0,2022-05-06,0.0,0.0
New York,US,05-06-2022,42.1657,-74.9481,5220948,68449,0.0,0.0,36.0,26838.00667651542,108062148.0,0.0,1.3110454269990814,84000036.0,USA,555487.7484898523,0.0,2022-05-06,0.0,0.0
North Carolina,US,05-06-2022,35.6301,-79.8064,2673326,24577,0.0,0.0,37.0,25489.174190443173,23293144.0,0.0,0.919341674004592,84000037.0,USA,222091.5088017983,0.0,2022-05-06,0.0,0.0
