Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-04-07 04:30:42,32.3182,-86.9023,517114,10652,0.0,0.0,1.0,10546.491719158055,4313249.0,0.0,2.059893949883392,84000001.0,USA,87968.31039416217,0.0,2021-04-06,0.0,0.0
Alaska,US,2021-04-07 04:30:42,61.3707,-152.4044,64081,313,0.0,0.0,2.0,8759.679855647977,1936287.0,0.0,0.4884443126667811,84000002.0,USA,264684.6058684018,0.0,2021-04-06,0.0,0.0
American Samoa,US,2021-04-07 04:30:42,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-04-06,0.0,0.0
Arizona,US,2021-04-07 04:30:42,33.7298,-111.4312,845480,16996,0.0,0.0,4.0,11615.783386000585,8658496.0,0.0,2.0102190471684724,84000004.0,USA,118956.34903788676,0.0,2021-04-06,0.0,0.0
Arkansas,US,2021-04-07 04:30:42,34.9697,-92.3731,331261,5653,0.0,0.0,5.0,10976.889155160508,2876915.0,0.0,1.7065093687454906,84000005.0,USA,95331.40654595196,0.0,2021-04-06,0.0,0.0
California,US,2021-04-07 07:30:57,36.1162,-119.6816,3745135,58962,0.0,0.0,6.0,9480.015842186353,55277310.0,0.0,1.5673433864644473,84000006.0,USA,139899.2661081104,0.0,2021-04-06,0.0,0.0
Colorado,US,2021-04-07 04:30:42,39.0598,-105.3111,470254,6132,0.0,0.0,8.0,8165.923911080487,7111749.0,0.0,1.3039761490598698,84000008.0,USA,123494.96486729031,0.0,2021-04-06,0.0,0.0
Connecticut,US,2021-04-07 04:30:42,41.5978,-72.7554,317729,7930,0.0,0.0,9.0,8911.73697937922,7348665.0,0.0,2.4958376478067787,84000009.0,USA,206117.0671533596,0.0,2021-04-06,0.0,0.0
Delaware,US,2021-04-07 04:30:42,39.3185,-75.5071,96806,1567,0.0,0.0,10.0,9941.423178511426,1601338.0,0.0,1.6187013201661054,84000010.0,USA,164448.26467193282,0.0,2021-04-06,0.0,0.0
Diamond Princess,US,2021-04-07 04:30:42,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-04-06,0.0,0.0
District of Columbia,US,2021-04-07 04:30:42,38.8974,-77.0268,45234,1074,0.0,0.0,11.0,6409.360835084428,1397160.0,0.0,2.374320201618252,84000011.0,USA,197968.39953014447,0.0,2021-04-06,0.0,0.0
Florida,US,2021-04-07 04:30:42,27.7663,-81.6868,2090862,33780,0.0,0.0,12.0,9735.020034931986,26063582.0,0.0,1.6156016035491585,84000012.0,USA,121351.62098316038,0.0,2021-04-06,0.0,0.0
Georgia,US,2021-04-07 04:30:42,33.0406,-83.6431,1066671,19238,0.0,0.0,13.0,10046.420868792738,7882169.0,0.0,1.8035551730571096,84000013.0,USA,74238.06134501753,0.0,2021-04-06,0.0,0.0
Grand Princess,US,2021-04-07 04:30:42,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-04-06,0.0,0.0
Guam,US,2021-04-07 04:30:42,13.4443,144.7937,7825,136,0.0,0.0,66.0,4764.6883315370615,133067.0,0.0,1.7380191693290734,316.0,GUM,81025.27568212678,0.0,2021-04-06,0.0,0.0
Hawaii,US,2021-04-07 04:30:42,21.0943,-157.4983,31489,467,0.0,0.0,15.0,2224.000474619175,1301669.0,0.0,1.483057575661342,84000015.0,USA,91934.0872621254,0.0,2021-04-06,0.0,0.0
Idaho,US,2021-04-07 04:30:42,44.2405,-114.4788,182182,1974,0.0,0.0,16.0,10194.480894651286,680735.0,0.0,1.083531852762622,84000016.0,USA,38092.346948767954,0.0,2021-04-06,0.0,0.0
Illinois,US,2021-04-07 04:30:42,40.3495,-88.9861,1261667,23673,0.0,0.0,17.0,9956.47744708515,20686198.0,0.0,1.8763271132557164,84000017.0,USA,163245.66137731902,0.0,2021-04-06,0.0,0.0
Indiana,US,2021-04-07 04:30:42,39.8494,-86.2583,692240,13084,0.0,0.0,18.0,10282.493781025249,9038809.0,0.0,1.890095920490004,84000018.0,USA,134261.95731303454,0.0,2021-04-06,0.0,0.0
Iowa,US,2021-04-07 04:30:42,42.0115,-93.2105,354557,5835,0.0,0.0,19.0,11237.690447438566,1382660.0,0.0,1.645715639516354,84000019.0,USA,43823.43339450472,0.0,2021-04-06,0.0,0.0
Kansas,US,2021-04-07 04:30:42,38.5266,-96.7265,304793,4922,0.0,0.0,20.0,10462.071716265396,1326785.0,0.0,1.6148664831541406,84000020.0,USA,45542.12144657253,0.0,2021-04-06,0.0,0.0
Kentucky,US,2021-04-07 04:30:42,37.6681,-84.6701,429841,6184,0.0,0.0,21.0,9621.1383420407,4247463.0,0.0,1.4386715087671953,84000021.0,USA,95071.03586139812,0.0,2021-04-06,0.0,0.0
Louisiana,US,2021-04-07 04:30:42,31.1695,-91.8678,446955,10174,0.0,0.0,22.0,9614.429032561991,6124663.0,0.0,2.276291796713316,84000022.0,USA,131747.35210895556,0.0,2021-04-06,0.0,0.0
Maine,US,2021-04-07 04:30:42,44.6939,-69.3819,52277,746,0.0,0.0,23.0,3889.0442876570064,1806521.0,0.0,1.427013791916139,84000023.0,USA,134392.56605356894,0.0,2021-04-06,0.0,0.0
Maryland,US,2021-04-07 04:30:42,39.0639,-76.8021,419055,8378,0.0,0.0,24.0,6931.47834486774,8920479.0,0.0,1.9992602403025856,84000024.0,USA,147551.29282396685,0.0,2021-04-06,0.0,0.0
Massachusetts,US,2021-04-07 04:30:42,42.2302,-71.5301,648023,13881,0.0,0.0,25.0,9401.852998830758,19252065.0,0.0,2.6753680039134413,84000025.0,USA,279318.920862276,0.0,2021-04-06,0.0,0.0
Michigan,US,2021-04-07 04:30:42,43.3266,-84.5361,786123,17343,0.0,0.0,26.0,7871.575611826624,11712466.0,0.0,2.2061433134509487,84000026.0,USA,117278.7995262173,0.0,2021-04-06,0.0,0.0
Minnesota,US,2021-04-07 04:30:42,45.6945,-93.9002,530662,6967,0.0,0.0,27.0,9409.514663368109,7814214.0,0.0,1.3128884299233787,84000027.0,USA,138558.93434181518,0.0,2021-04-06,0.0,0.0
Mississippi,US,2021-04-07 04:30:42,32.7416,-89.6787,306341,7073,0.0,0.0,28.0,10293.20104604978,1845226.0,0.0,2.3088649576778817,84000028.0,USA,62000.45763837765,0.0,2021-04-06,0.0,0.0
Missouri,US,2021-04-07 04:30:42,38.4561,-92.2884,585131,8876,0.0,0.0,29.0,9533.81449036958,4955003.0,0.0,1.5169252697259246,84000029.0,USA,80734.19354165946,0.0,2021-04-06,0.0,0.0
Montana,US,2021-04-07 04:30:42,46.9219,-110.4544,105333,1477,0.0,0.0,30.0,9855.461096691735,1221412.0,0.0,1.4022196272773015,84000030.0,USA,114281.16970970586,0.0,2021-04-06,0.0,0.0
Nebraska,US,2021-04-07 04:30:42,41.1254,-98.2681,212257,2183,0.0,0.0,31.0,10972.71103097175,2651627.0,0.0,1.0284702035739692,84000031.0,USA,137076.92482661366,0.0,2021-04-06,0.0,0.0
Nevada,US,2021-04-07 04:30:42,38.3135,-117.0554,305652,5297,0.0,0.0,32.0,9923.263626907208,2979842.0,0.0,1.7330166332953816,84000032.0,USA,96743.21690200103,0.0,2021-04-06,0.0,0.0
New Hampshire,US,2021-04-07 04:30:42,43.4525,-71.5639,86521,1249,0.0,0.0,33.0,6363.190413256934,1704365.0,0.0,1.4435801712878955,84000033.0,USA,125347.59224570516,0.0,2021-04-06,0.0,0.0
New Jersey,US,2021-04-07 04:30:42,40.2989,-74.521,933736,24700,0.0,0.0,34.0,10512.452446975352,12350284.0,0.0,2.6452873188995603,84000034.0,USA,139045.4831522406,0.0,2021-04-06,0.0,0.0
New Mexico,US,2021-04-07 04:30:42,34.8405,-106.2485,192773,3961,0.0,0.0,35.0,9193.54892554424,3046614.0,0.0,2.054748330938461,84000035.0,USA,145296.25448713268,0.0,2021-04-06,0.0,0.0
New York,US,2021-04-07 04:30:42,42.1657,-74.9481,1918437,50549,0.0,0.0,36.0,9861.623792168435,46060296.0,0.0,2.634905394339246,84000036.0,USA,236770.512092876,0.0,2021-04-06,0.0,0.0
North Carolina,US,2021-04-07 04:30:42,35.6301,-79.8064,923430,12189,0.0,0.0,37.0,8804.563350179118,10657651.0,0.0,1.3199701114323772,84000037.0,USA,101616.7585995688,0.0,2021-04-06,0.0,0.0
North Dakota,US,2021-04-07 04:30:42,47.5289,-99.784,103961,1499,0.0,0.0,38.0,13643.771766601669,1475332.0,0.0,1.4417065804912768,84000038.0,USA,193597.3713424892,0.0,2021-04-06,0.0,0.0
Northern Mariana Islands,US,2021-04-07 04:30:42,15.0979,145.6739,160,2,0.0,0.0,69.0,290.1494269548818,17542.0,0.0,1.25,580.0,MNP,31811.25779776585,0.0,2021-04-06,0.0,0.0
Ohio,US,2021-04-07 04:30:42,40.3888,-82.7649,1028800,19395,0.0,0.0,39.0,8801.36195258831,11126130.0,0.0,1.88549766718507,84000039.0,USA,95183.8037145717,0.0,2021-04-06,0.0,0.0
Oklahoma,US,2021-04-07 04:30:42,35.5653,-96.9289,440142,4953,0.0,0.0,40.0,11123.2050980409,3799967.0,0.0,1.12531864716387,84000040.0,USA,96032.21757248158,0.0,2021-04-06,0.0,0.0
Oregon,US,2021-04-07 04:30:42,44.572,-122.0709,167658,2427,0.0,0.0,41.0,3975.0700434854048,4259223.0,0.0,1.4475897362487922,84000041.0,USA,100983.60803435589,0.0,2021-04-06,0.0,0.0
Pennsylvania,US,2021-04-07 04:30:42,40.5908,-77.2098,1060445,25233,0.0,0.0,42.0,8283.439393675468,11902973.0,0.0,2.3794727685075605,84000042.0,USA,92977.52872620028,0.0,2021-04-06,0.0,0.0
Puerto Rico,US,2021-04-07 04:30:42,18.2208,-66.5901,110233,2139,0.0,0.0,72.0,3451.583025800217,1875499.0,0.0,1.940435259858663,630.0,PRI,58725.06883878042,0.0,2021-04-06,0.0,0.0
Rhode Island,US,2021-04-07 04:30:42,41.6809,-71.5118,139549,2632,0.0,0.0,44.0,13172.941046536544,3602617.0,0.0,1.8860758586589657,84000044.0,USA,340074.53549828625,0.0,2021-04-06,0.0,0.0
South Carolina,US,2021-04-07 04:30:42,33.8569,-80.945,557803,9204,0.0,0.0,45.0,10833.83151598632,5731427.0,0.0,1.6500449083278506,84000045.0,USA,111317.6416479921,0.0,2021-04-06,0.0,0.0
South Dakota,US,2021-04-07 04:30:42,44.2998,-99.4388,118680,1938,0.0,0.0,46.0,13415.338565481165,743378.0,0.0,1.6329625884732053,84000046.0,USA,84029.89174359837,0.0,2021-04-06,0.0,0.0
Tennessee,US,2021-04-07 04:30:42,35.7478,-86.6923,812457,11913,0.0,0.0,47.0,11901.424681813642,7285670.0,0.0,1.4689290561032715,84000047.0,USA,106684.49800810462,0.0,2021-04-06,0.0,0.0
Texas,US,2021-04-07 04:30:42,31.0545,-97.5635,2847564,48815,0.0,0.0,48.0,9820.58106804894,21682763.0,0.0,1.7142722692097525,84000048.0,USA,74778.76943970076,0.0,2021-04-06,0.0,0.0
Utah,US,2021-04-07 04:30:42,40.15,-111.8624,387814,2137,0.0,0.0,49.0,12096.665021812512,3117420.0,0.0,0.5510373529578613,84000049.0,USA,97238.32938547544,0.0,2021-04-06,0.0,0.0
Vermont,US,2021-04-07 04:30:42,44.0459,-72.7107,20373,229,0.0,0.0,50.0,3264.9614015631687,1377571.0,0.0,1.1240367152603936,84000050.0,USA,220768.475085298,0.0,2021-04-06,0.0,0.0
Virgin Islands,US,2021-04-07 04:30:42,18.3358,-64.8963,2945,26,0.0,0.0,78.0,2745.459969422381,89456.0,0.0,0.8828522920203735,850.0,VIR,83394.86146847147,0.0,2021-04-06,0.0,0.0
Virginia,US,2021-04-07 04:30:42,37.7693,-78.17,627605,10401,0.0,0.0,51.0,7352.862784325124,6578152.0,0.0,1.657252571282893,84000051.0,USA,77067.97911175643,0.0,2021-04-06,0.0,0.0
Washington,US,2021-04-07 04:30:42,47.4009,-121.4905,370652,5299,0.0,0.0,53.0,4867.461696441434,6020417.0,0.0,1.4296428995391903,84000053.0,USA,79061.08464032259,0.0,2021-04-06,0.0,0.0
West Virginia,US,2021-04-07 04:30:42,38.4912,-80.9545,144010,2707,0.0,0.0,54.0,8035.613150037358,2522128.0,0.0,1.879730574265676,84000054.0,USA,140732.20556126256,0.0,2021-04-06,0.0,0.0
