Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,06-04-2020,32.3182,-86.9023,19262,653,11395.0,7214.0,1,392.84669046752265,0.0,1929.0,0.0,84000001.0,USA,7195.1394858648,10.114303691275168,2020-06-04,352791.0,3.3900944865538367
Alaska,US,06-04-2020,61.3707,-152.4044,525,10,376.0,139.0,2,71.76592007326958,0.0,0.0,0.0,84000002.0,USA,8215.079045034823,0.0,2020-06-04,60097.0,1.9047619047619049
American Samoa,US,06-04-2020,-14.271,-170.132,0,0,0.0,0.0,60,0.0,0.0,0.0,0.0,16.0,ASM,312.7190381193724,0.0,2020-06-04,174.0,0.0
Arizona,US,06-04-2020,33.7298,-111.4312,22886,999,5172.0,16715.0,4,314.42354469888033,0.0,3195.0,0.0,84000004.0,USA,3431.30526987105,13.960499868915496,2020-06-04,347401.0,4.365114043520056
Arkansas,US,06-04-2020,34.9697,-92.3731,8425,151,5717.0,2557.0,5,279.1765137828699,0.0,757.0,0.0,84000005.0,USA,4721.313909054398,8.985163204747774,2020-06-04,142480.0,1.7922848664688429
California,US,06-04-2020,36.1162,-119.6816,123983,4401,0.0,0.0,6,313.7510131991308,0.0,0.0,0.0,84000006.0,USA,5524.039991371784,0.0,2020-06-04,2182671.0,3.546019198193111
Colorado,US,06-04-2020,39.0598,-105.3111,27360,1512,4014.0,21834.0,8,475.1042589901673,0.0,4443.0,0.0,84000008.0,USA,3424.3625684525214,16.247348789585313,2020-06-04,197200.0,5.526315789473684
Connecticut,US,06-04-2020,41.5978,-72.7554,43239,4007,7284.0,31948.0,9,1212.7775407702102,0.0,9669.0,0.0,84000009.0,USA,7896.2787568013455,22.36175674738084,2020-06-04,281525.0,9.267096833876824
Delaware,US,06-04-2020,39.3185,-75.5071,9746,517,5562.0,3667.0,10,1000.8585242420136,0.0,0.0,0.0,84000010.0,USA,6768.477783117881,0.0,2020-06-04,65909.0,5.304740406320541
Diamond Princess,US,06-04-2020,0.0,0.0,49,0,0.0,0.0,88888,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2020-06-04,0.0,0.0
District of Columbia,US,06-04-2020,38.8974,-77.0268,9120,475,1138.0,7507.0,11,1292.244126452889,0.0,0.0,0.0,84000011.0,USA,7239.967750574213,0.0,2020-06-04,51096.0,5.208333333333333
Florida,US,06-04-2020,27.7663,-81.6868,60183,2607,0.0,0.0,12,280.2110855533802,0.0,10923.0,0.0,84000012.0,USA,7627.325914271136,18.14964358705947,2020-06-04,1638177.0,4.331788046458303
Georgia,US,06-04-2020,33.0406,-83.6431,49859,2149,0.0,0.0,13,469.59605923207545,0.0,8557.0,0.0,84000013.0,USA,4674.6842430597335,17.162397962253554,2020-06-04,496331.0,4.310154636073728
Grand Princess,US,06-04-2020,0.0,0.0,103,3,0.0,0.0,99999,0.0,0.0,0.0,0.0,84099999.0,USA,0.0,0.0,2020-06-04,0.0,2.912621359223301
Guam,US,06-04-2020,13.4443,144.7937,179,5,162.0,12.0,66,108.9941484147136,0.0,0.0,0.0,316.0,GUM,4252.598505745027,0.0,2020-06-04,6984.0,2.793296089385475
Hawaii,US,06-04-2020,21.0943,-157.4983,655,17,612.0,26.0,15,46.26124395425576,0.0,83.0,0.0,84000015.0,USA,3576.453238710844,12.67175572519084,2020-06-04,50638.0,2.595419847328244
Idaho,US,06-04-2020,44.2405,-114.4788,2990,83,2311.0,596.0,16,167.31344411087454,0.0,253.0,0.0,84000016.0,USA,2786.9719344287982,8.461538461538462,2020-06-04,49805.0,2.7759197324414715
Illinois,US,06-04-2020,40.3495,-88.9861,124759,5736,0.0,0.0,17,984.538844101412,0.0,0.0,0.0,84000017.0,USA,7749.604417549775,0.0,2020-06-04,982016.0,4.597664296764162
Indiana,US,06-04-2020,39.8494,-86.2583,36096,2202,23707.0,10187.0,18,536.1679410607409,0.0,5999.0,0.0,84000018.0,USA,4236.84969250109,16.619570035460992,2020-06-04,285234.0,6.100398936170213
Iowa,US,06-04-2020,42.0115,-93.2105,20806,583,12333.0,7890.0,19,659.4465415981261,0.0,0.0,0.0,84000019.0,USA,5544.567949364039,0.0,2020-06-04,174935.0,2.802076324137268
Kansas,US,06-04-2020,38.5266,-96.7265,10167,227,592.0,9348.0,20,348.9840092760341,0.0,890.0,0.0,84000020.0,USA,3708.937656565685,8.753811350447526,2020-06-04,108053.0,2.232713681518639
Kentucky,US,06-04-2020,37.6681,-84.6701,10705,458,3303.0,6944.0,21,239.61019528510704,0.0,2332.0,0.0,84000021.0,USA,5280.713248261455,21.78421298458664,2020-06-04,235925.0,4.27837459131247
Louisiana,US,06-04-2020,31.1695,-91.8678,41562,2883,31728.0,6951.0,22,894.0383247784264,0.0,0.0,0.0,84000022.0,USA,8845.003671920073,0.0,2020-06-04,411186.0,6.936624801501371
Maine,US,06-04-2020,44.6939,-69.3819,2446,95,1739.0,612.0,23,181.96534475216703,0.0,291.0,0.0,84000023.0,USA,4180.962526744293,11.896974652493869,2020-06-04,56201.0,3.883892068683565
Maryland,US,06-04-2020,39.0639,-76.8021,55858,2668,3985.0,49205.0,24,923.9324608646174,0.0,9217.0,0.0,84000024.0,USA,5574.525942491167,16.50076980915894,2020-06-04,337018.0,4.776397293136167
Massachusetts,US,06-04-2020,42.2302,-71.5301,102063,7201,0.0,0.0,25,1480.7828157637364,0.0,10238.0,0.0,84000025.0,USA,9066.880348111565,10.031059247719543,2020-06-04,624935.0,7.055446146007858
Michigan,US,06-04-2020,43.3266,-84.5361,58241,5595,38099.0,14547.0,26,583.1764688329872,0.0,0.0,0.0,84000026.0,USA,6097.844396890833,0.0,2020-06-04,608983.0,9.606634501468038
Minnesota,US,06-04-2020,45.6945,-93.9002,26273,1126,21490.0,3657.0,27,465.8637301157239,0.0,3253.0,0.0,84000027.0,USA,4887.23377695566,12.38153237163628,2020-06-04,275622.0,4.285768659840901
Mississippi,US,06-04-2020,32.7416,-89.6787,16560,794,11203.0,4563.0,28,556.4237543214402,0.0,2340.0,0.0,84000028.0,USA,6215.582620359397,14.130434782608695,2020-06-04,184985.0,4.794685990338165
Missouri,US,06-04-2020,38.4561,-92.2884,14443,803,0.0,0.0,29,235.3265895746557,0.0,0.0,0.0,84000029.0,USA,3562.7464794699017,0.0,2020-06-04,218661.0,5.55978674790556
Montana,US,06-04-2020,46.9219,-110.4544,539,17,467.0,55.0,30,50.43142729360073,0.0,68.0,0.0,84000030.0,USA,4176.919809352363,12.61595547309833,2020-06-04,44642.0,3.1539888682745825
Nebraska,US,06-04-2020,41.1254,-98.2681,15139,187,7005.0,7947.0,31,782.6166972014177,0.0,902.0,0.0,84000031.0,USA,5803.067398397856,5.958121408283242,2020-06-04,112255.0,1.23522029196116
Nevada,US,06-04-2020,38.3135,-117.0554,9129,430,512.0,8187.0,32,296.3810923862298,0.0,0.0,0.0,84000032.0,USA,5240.741053375219,0.0,2020-06-04,161423.0,4.710263993865703
New Hampshire,US,06-04-2020,43.4525,-71.5639,4876,273,3157.0,1446.0,33,358.6056154579907,0.0,468.0,0.0,84000033.0,USA,6551.906986116903,9.598031173092698,2020-06-04,89087.0,5.598851517637407
New Jersey,US,06-04-2020,40.2989,-74.521,162923,11970,27231.0,123722.0,34,1834.2660987886995,0.0,17604.0,0.0,84000034.0,USA,9656.728802243591,10.8312311573248,2020-06-04,857729.0,7.34702896460291
New Mexico,US,06-04-2020,34.8405,-106.2485,8353,383,3013.0,4957.0,35,398.3634335465601,0.0,1416.0,0.0,84000035.0,USA,10158.005254601114,16.95199329582186,2020-06-04,212996.0,4.585178977612833
New York,US,06-04-2020,42.1657,-74.9481,375133,30021,66756.0,278356.0,36,1928.351318301056,0.0,89995.0,0.0,84000036.0,USA,11787.209549963629,23.99015815724023,2020-06-04,2293032.0,8.002761687188277
North Carolina,US,06-04-2020,35.6301,-79.8064,32075,1006,18860.0,12209.0,37,305.8232561829215,0.0,0.0,0.0,84000037.0,USA,4465.086282680421,0.0,2020-06-04,468302.0,3.136399064692128
North Dakota,US,06-04-2020,47.5289,-99.784,2748,66,2209.0,431.0,38,355.0892184625398,0.0,175.0,0.0,84000038.0,USA,9939.34876689823,6.467110125646711,2020-06-04,75744.0,2.4390243902439024
