Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,09-07-2021,32.3182,-86.9023,727360,12420,0.0,0.0,1.0,14834.439247142418,5506551.0,0.0,1.7075450945886494,84000001.0,USA,112305.59320115394,0.0,2021-09-07,0.0,0.0
Alaska,US,09-07-2021,61.3707,-152.4044,92790,450,0.0,0.0,2.0,12684.11375923559,2773181.0,0.0,0.4849660523763336,84000002.0,USA,379085.4971327806,0.0,2021-09-07,0.0,0.0
American Samoa,US,09-07-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-09-07,0.0,0.0
Arizona,US,09-07-2021,33.7298,-111.4312,1034790,19053,0.0,0.0,4.0,14216.653841604228,11999578.0,0.0,1.841243150784217,84000004.0,USA,164858.42216423582,0.0,2021-09-07,0.0,0.0
Arkansas,US,09-07-2021,34.9697,-92.3731,465315,7108,0.0,0.0,5.0,15418.993413753842,3700376.0,0.0,1.527567346851058,84000005.0,USA,122618.16870810695,0.0,2021-09-07,0.0,0.0
California,US,09-07-2021,36.1162,-119.6816,4544552,66185,0.0,0.0,6.0,11502.359662224017,84412846.0,0.0,1.455211384872244,84000006.0,USA,213637.2990201032,0.0,2021-09-07,0.0,0.0
Colorado,US,09-07-2021,39.0598,-105.3111,629259,7226,0.0,0.0,8.0,10927.033293417167,10372562.0,0.0,1.148334787424574,84000008.0,USA,180118.72744296663,0.0,2021-09-07,0.0,0.0
Connecticut,US,09-07-2021,41.5978,-72.7554,376747,8395,0.0,0.0,9.0,10567.087586497244,9521912.0,0.0,2.228285825766363,84000009.0,USA,267072.8050785252,0.0,2021-09-07,0.0,0.0
Delaware,US,09-07-2021,39.3185,-75.5071,122718,1891,0.0,0.0,10.0,12602.43755160388,2093108.0,0.0,1.5409312407307811,84000010.0,USA,214950.23434836368,0.0,2021-09-07,0.0,0.0
Diamond Princess,US,09-07-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-09-07,0.0,0.0
District of Columbia,US,09-07-2021,38.8974,-77.0268,56569,1163,0.0,0.0,11.0,8015.455919880864,1882467.0,0.0,2.0558963389842493,84000011.0,USA,266733.2153499332,0.0,2021-09-07,0.0,0.0
Florida,US,09-07-2021,27.7663,-81.6868,3364998,46973,0.0,0.0,12.0,15667.3768749473,37972875.0,0.0,1.3959295072389344,84000012.0,USA,176801.09873773015,0.0,2021-09-07,0.0,0.0
Georgia,US,09-07-2021,33.0406,-83.6431,1459658,23342,0.0,0.0,13.0,13747.761580187584,10623648.0,0.0,1.599141716758309,84000013.0,USA,100058.6300461044,0.0,2021-09-07,0.0,0.0
Grand Princess,US,09-07-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-09-07,0.0,0.0
Guam,US,09-07-2021,13.4443,144.7937,11494,153,0.0,0.0,66.0,6998.763921110157,204113.0,0.0,1.3311292848442666,316.0,GUM,124285.60120319796,0.0,2021-09-07,0.0,0.0
Hawaii,US,09-07-2021,21.0943,-157.4983,68764,626,0.0,0.0,15.0,4856.653708809836,2179950.0,0.0,0.910360072130766,84000015.0,USA,153965.18894363331,0.0,2021-09-07,0.0,0.0
Idaho,US,09-07-2021,44.2405,-114.4788,228071,2409,0.0,0.0,16.0,12762.322579201093,890044.0,0.0,1.0562500274037472,84000016.0,USA,49804.79165559171,0.0,2021-09-07,0.0,0.0
Illinois,US,09-07-2021,40.3495,-88.9861,1550378,26680,0.0,0.0,17.0,12234.824024108297,29177890.0,0.0,1.713520922357494,84000017.0,USA,230258.0663031777,0.0,2021-09-07,0.0,0.0
Indiana,US,09-07-2021,39.8494,-86.2583,886255,14623,0.0,0.0,18.0,13164.381610283326,12450587.0,0.0,1.6499765868739809,84000018.0,USA,184940.3146273168,0.0,2021-09-07,0.0,0.0
Iowa,US,09-07-2021,42.0115,-93.2105,414784,6307,0.0,0.0,19.0,13146.586288101373,1582989.0,0.0,1.5205504551766702,84000019.0,USA,50172.86462740922,0.0,2021-09-07,0.0,0.0
Kansas,US,09-07-2021,38.5266,-96.7265,378117,5635,0.0,0.0,20.0,12978.930523795238,1636900.0,0.0,1.4902794637638614,84000020.0,USA,56186.871720659015,0.0,2021-09-07,0.0,0.0
Kentucky,US,09-07-2021,37.6681,-84.6701,605468,7905,0.0,0.0,21.0,13552.200440811132,6307788.0,0.0,1.3056016172613585,84000021.0,USA,141187.32503475522,0.0,2021-09-07,0.0,0.0
Louisiana,US,09-07-2021,31.1695,-91.8678,702432,12779,0.0,0.0,22.0,15109.98336342716,8610170.0,0.0,1.819250831397203,84000022.0,USA,185212.9821196637,0.0,2021-09-07,0.0,0.0
Maine,US,09-07-2021,44.6939,-69.3819,78071,940,0.0,0.0,23.0,5807.938033583988,2557629.0,0.0,1.2040322270753545,84000023.0,USA,190269.76399556024,0.0,2021-09-07,0.0,0.0
Maryland,US,09-07-2021,39.0639,-76.8021,504856,10094,0.0,0.0,24.0,8350.690079527862,12197782.0,0.0,1.9993820019966089,84000024.0,USA,201760.29826256103,0.0,2021-09-07,0.0,0.0
Massachusetts,US,09-07-2021,42.2302,-71.5301,771267,14820,0.0,0.0,25.0,11189.940722550284,26404888.0,0.0,2.3724598615006216,84000025.0,USA,383095.77812298376,0.0,2021-09-07,0.0,0.0
Michigan,US,09-07-2021,43.3266,-84.5361,1077871,21704,0.0,0.0,26.0,10792.895102032602,15364117.0,0.0,2.0135990299395754,84000026.0,USA,153843.3663363759,0.0,2021-09-07,0.0,0.0
Minnesota,US,09-07-2021,45.6945,-93.9002,657492,7949,0.0,0.0,27.0,11658.420265719466,10460271.0,0.0,1.208988094151716,84000027.0,USA,185477.8999764524,0.0,2021-09-07,0.0,0.0
Mississippi,US,09-07-2021,32.7416,-89.6787,453348,8685,0.0,0.0,28.0,15232.705082978036,2307775.0,0.0,1.9157468434844755,84000028.0,USA,77542.3206297803,0.0,2021-09-07,0.0,0.0
Missouri,US,09-07-2021,38.4561,-92.2884,779030,11145,0.0,0.0,29.0,12693.102061645366,6660875.0,0.0,1.43062526475232,84000029.0,USA,108528.76807679048,0.0,2021-09-07,0.0,0.0
Montana,US,09-07-2021,46.9219,-110.4544,130705,1814,0.0,0.0,30.0,12229.387206697742,1659036.0,0.0,1.3878581538579244,84000030.0,USA,155227.37182090204,0.0,2021-09-07,0.0,0.0
Nebraska,US,09-07-2021,41.1254,-98.2681,249108,2348,0.0,0.0,31.0,12877.738305466066,3452126.0,0.0,0.942563065015977,84000031.0,USA,178459.0427665725,0.0,2021-09-07,0.0,0.0
Nevada,US,09-07-2021,38.3135,-117.0554,397788,6604,0.0,0.0,32.0,12914.540692094815,4075315.0,0.0,1.6601807998230214,84000032.0,USA,132308.720727132,0.0,2021-09-07,0.0,0.0
New Hampshire,US,09-07-2021,43.4525,-71.5639,109716,1430,0.0,0.0,33.0,8069.067618045306,2309249.0,0.0,1.3033650515877355,84000033.0,USA,169833.8102729183,0.0,2021-09-07,0.0,0.0
New Jersey,US,09-07-2021,40.2989,-74.521,1104793,26978,0.0,0.0,34.0,12438.29506011468,15238651.0,0.0,2.441905406714199,84000034.0,USA,171564.11875899974,0.0,2021-09-07,0.0,0.0
New Mexico,US,09-07-2021,34.8405,-106.2485,237889,4562,0.0,0.0,35.0,11345.178839094651,4204787.0,0.0,1.917701112703824,84000035.0,USA,200530.75381921945,0.0,2021-09-07,0.0,0.0
New York,US,09-07-2021,42.1657,-74.9481,2310662,54481,0.0,0.0,36.0,11877.835631224536,66195553.0,0.0,2.357809147335266,84000036.0,USA,340274.7342761564,0.0,2021-09-07,0.0,0.0
North Carolina,US,09-07-2021,35.6301,-79.8064,1262581,14831,0.0,0.0,37.0,12038.242638026164,14305679.0,0.0,1.1746573091152173,84000037.0,USA,136399.35568784538,0.0,2021-09-07,0.0,0.0
North Dakota,US,09-07-2021,47.5289,-99.784,120364,1596,0.0,0.0,38.0,15741.895016415989,1683833.0,0.0,1.3304102098146928,84000038.0,USA,220957.48114982765,0.0,2021-09-07,0.0,0.0
