Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,07-25-2022,32.3182,-86.9023,1413426,19888,0.0,0.0,1.0,28826.691222134184,7957429.0,0.0,1.4070775548206982,84000001.0,USA,162291.02104040538,0.0
Alaska,US,07-25-2022,61.3707,-152.4044,281203,1309,0.0,0.0,2.0,38439.6038521212,0.0,0.0,0.4655000124465244,84000002.0,USA,0.0,0.0
American Samoa,US,07-25-2022,-14.271,-170.132,7471,33,0.0,0.0,60.0,13427.149044769145,0.0,0.0,0.4417079373577834,16.0,ASM,0.0,0.0
Arizona,US,07-25-2022,33.7298,-111.4312,2179180,30698,0.0,0.0,4.0,29939.067558197414,20213642.0,0.0,1.4086950137207574,84000004.0,USA,277708.8599543024,0.0
Arkansas,US,07-25-2022,34.9697,-92.3731,896275,11673,0.0,0.0,5.0,29699.576248159257,5344269.0,0.0,1.3023904493598506,84000005.0,USA,177091.32203416788,0.0
California,US,07-25-2022,36.1162,-119.6816,10595521,93243,0.0,0.0,6.0,26815.80583304564,178242636.0,0.0,0.8800227945374276,84000006.0,USA,451107.5876444613,0.0
Colorado,US,07-25-2022,39.0598,-105.3111,1588509,12947,0.0,0.0,8.0,27584.334478955105,19287087.0,0.0,0.8150410227452284,84000008.0,USA,334918.7564771158,0.0
Connecticut,US,07-25-2022,41.5978,-72.7554,849007,11093,0.0,0.0,9.0,23813.146038453568,14648536.0,0.0,1.30658522250111,84000009.0,USA,410865.5488323941,0.0
Delaware,US,07-25-2022,39.3185,-75.5071,292612,3021,0.0,0.0,10.0,30049.58080191915,3451352.0,0.0,1.0324251910379616,84000010.0,USA,354434.1339379973,0.0
Diamond Princess,US,07-25-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0
District of Columbia,US,07-25-2022,38.8974,-77.0268,161415,1363,0.0,0.0,11.0,22871.44579730188,0.0,0.0,0.8444072731778335,84000011.0,USA,0.0,0.0
Florida,US,07-25-2022,27.7663,-81.6868,6743157,77273,0.0,0.0,12.0,31396.03115542387,61066942.0,0.0,1.1459469207079118,84000012.0,USA,284326.70536937856,0.0
Georgia,US,07-25-2022,33.0406,-83.6431,2721391,38933,0.0,0.0,13.0,25631.370248694056,19184052.0,0.0,1.430628674821075,84000013.0,USA,180684.63505692483,0.0
Grand Princess,US,07-25-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0
Guam,US,07-25-2022,13.4443,144.7937,54622,377,0.0,0.0,66.0,33259.655724628414,456815.0,0.0,0.690198088682216,316.0,GUM,278157.32909534854,0.0
Hawaii,US,07-25-2022,21.0943,-157.4983,321869,1548,0.0,0.0,15.0,22732.916534828008,4153682.0,0.0,0.4809410039488114,84000015.0,USA,293365.6432219862,0.0
Idaho,US,07-25-2022,44.2405,-114.4788,476226,5017,0.0,0.0,16.0,26648.49907529944,1255320.0,0.0,1.0534914095408483,84000016.0,USA,70244.78684323178,0.0
Illinois,US,07-25-2022,40.3495,-88.9861,3542799,38822,0.0,0.0,17.0,27958.08905444608,0.0,0.0,1.095800241560416,84000017.0,USA,0.0,0.0
Indiana,US,07-25-2022,39.8494,-86.2583,1816673,24063,0.0,0.0,18.0,26984.75792305628,20454402.0,0.0,1.3245641895927336,84000018.0,USA,303828.5296423066,0.0
Iowa,US,07-25-2022,42.0115,-93.2105,813148,9759,0.0,0.0,19.0,25772.74038293921,0.0,0.0,1.200150526103489,84000019.0,USA,0.0,0.0
Kansas,US,07-25-2022,38.5266,-96.7265,828141,8966,0.0,0.0,20.0,28426.08108840997,0.0,0.0,1.082665874531028,84000020.0,USA,0.0,0.0
Kentucky,US,07-25-2022,37.6681,-84.6701,1451859,16352,0.0,0.0,21.0,32496.984448056068,0.0,0.0,1.1262801690797797,84000021.0,USA,0.0,0.0
Louisiana,US,07-25-2022,31.1695,-91.8678,1367787,17522,0.0,0.0,22.0,29422.405036661123,14131042.0,0.0,1.2810474145462707,84000022.0,USA,303972.21300836303,0.0
Maine,US,07-25-2022,44.6939,-69.3819,274500,2465,0.0,0.0,23.0,20420.88599119781,4415965.0,0.0,0.8979963570127505,84000023.0,USA,328517.004758178,0.0
Maryland,US,07-25-2022,39.0639,-76.8021,1169781,14919,0.0,0.0,24.0,19349.03931402257,22247616.0,0.0,1.2753669276556894,84000024.0,USA,367991.9545857538,0.0
Massachusetts,US,07-25-2022,42.2302,-71.5301,1955844,21127,0.0,0.0,25.0,28376.39678938116,46287988.0,0.0,1.0801986252482303,84000025.0,USA,671570.0812897724,0.0
Michigan,US,07-25-2022,43.3266,-84.5361,2652659,37291,0.0,0.0,26.0,26561.49977915975,25422521.0,0.0,1.4057969757891986,84000026.0,USA,254559.7779161152,0.0
Minnesota,US,07-25-2022,45.6945,-93.9002,1580508,13242,0.0,0.0,27.0,28025.020072231662,0.0,0.0,0.8378318869629259,84000027.0,USA,0.0,0.0
Mississippi,US,07-25-2022,32.7416,-89.6787,869466,12604,0.0,0.0,28.0,29214.46473278052,0.0,0.0,1.4496254022583976,84000028.0,USA,0.0,0.0
Missouri,US,07-25-2022,38.4561,-92.2884,1560605,21082,0.0,0.0,29.0,25427.67100485741,0.0,0.0,1.3508863549713093,84000029.0,USA,0.0,0.0
Montana,US,07-25-2022,46.9219,-110.4544,294340,3467,0.0,0.0,30.0,27539.863283113988,2983644.0,0.0,1.177889515526262,84000030.0,USA,279164.05464932846,0.0
Nebraska,US,07-25-2022,41.1254,-98.2681,511738,4363,0.0,0.0,31.0,26454.501842424143,0.0,0.0,0.8525847210877441,84000031.0,USA,0.0,0.0
Nevada,US,07-25-2022,38.3135,-117.0554,789674,11189,0.0,0.0,32.0,25637.467712674294,0.0,0.0,1.41691381506799,84000032.0,USA,0.0,0.0
New Hampshire,US,07-25-2022,43.4525,-71.5639,336445,2618,0.0,0.0,33.0,24743.86101164145,0.0,0.0,0.7781360995110642,84000033.0,USA,0.0,0.0
New Jersey,US,07-25-2022,40.2989,-74.521,2574316,34222,0.0,0.0,34.0,28982.897235929428,30605463.0,0.0,1.3293628288057877,84000034.0,USA,344571.136172498,0.0
New Mexico,US,07-25-2022,34.8405,-106.2485,586711,8196,0.0,0.0,35.0,27980.87016156301,7575825.0,0.0,1.3969398903378325,84000035.0,USA,361299.133119582,0.0
New York,US,07-25-2022,42.1657,-74.9481,5786878,70125,0.0,0.0,36.0,29747.13986811977,115473392.0,0.0,1.2117933020188087,84000036.0,USA,593584.8557495463,0.0
North Carolina,US,07-25-2022,35.6301,-79.8064,2949198,25435,0.0,0.0,37.0,28119.5116286254,24619856.0,0.0,0.8624378559866106,84000037.0,USA,234741.21679422093,0.0
North Dakota,US,07-25-2022,47.5289,-99.784,255476,2304,0.0,0.0,38.0,33524.306421262314,0.0,0.0,0.9018459659615776,84000038.0,USA,0.0,0.0
Northern Mariana Islands,US,07-25-2022,15.0979,145.6739,12573,37,0.0,0.0,69.0,22800.3046568983,0.0,0.0,0.2942813966436013,580.0,MNP,0.0,0.0
Ohio,US,07-25-2022,40.3888,-82.7649,2918366,38981,0.0,0.0,39.0,24966.55858877073,0.0,0.0,1.3357132038956046,84000039.0,USA,0.0,0.0
Oklahoma,US,07-25-2022,35.5653,-96.9289,1112711,16216,0.0,0.0,40.0,28120.27179375336,0.0,0.0,1.4573415738677875,84000040.0,USA,0.0,0.0
Oregon,US,07-25-2022,44.572,-122.0709,845330,8036,0.0,0.0,41.0,20042.264370680296,12142925.0,0.0,0.9506346633858966,84000041.0,USA,287901.4267603694,0.0
Pennsylvania,US,07-25-2022,40.5908,-77.2098,3058316,46047,0.0,0.0,42.0,23889.38156406789,26873734.0,0.0,1.5056325114867135,84000042.0,USA,209918.4275193488,0.0
