Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,11-08-2021,32.3182,-86.9023,836255,15834,0.0,0.0,1.0,17055.34259873939,6107945.0,0.0,1.8934415937722344,84000001.0,USA,124570.96764653994,0.0,2021-11-08,0.0,0.0
Alaska,US,11-08-2021,61.3707,-152.4044,143473,794,0.0,0.0,2.0,19612.32733461373,3374603.0,0.0,0.5534142312490852,84000002.0,USA,461298.0746228872,0.0,2021-11-08,0.0,0.0
American Samoa,US,11-08-2021,-14.271,-170.132,4,0,0.0,0.0,60.0,7.188943405043044,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-11-08,0.0,0.0
Arizona,US,11-08-2021,33.7298,-111.4312,1192365,21409,0.0,0.0,4.0,16381.527129025624,13890504.0,0.0,1.7955072482000058,84000004.0,USA,190837.2588191023,0.0,2021-11-08,0.0,0.0
Arkansas,US,11-08-2021,34.9697,-92.3731,516386,8508,0.0,0.0,5.0,17111.31670579004,4123003.0,0.0,1.6476046988105797,84000005.0,USA,136622.62360312333,0.0,2021-11-08,0.0,0.0
California,US,11-08-2021,36.1162,-119.6816,4975041,72593,0.0,0.0,6.0,12591.22272113113,103984228.0,0.0,1.4601597725620856,84000006.0,USA,263169.77407219034,0.0,2021-11-08,0.0,0.0
Colorado,US,11-08-2021,39.0598,-105.3111,768646,8499,0.0,0.0,8.0,13347.47764092676,12292094.0,0.0,1.1057105611686004,84000008.0,USA,213451.2504132852,0.0,2021-11-08,0.0,0.0
Connecticut,US,11-08-2021,41.5978,-72.7554,405910,8790,0.0,0.0,9.0,11385.058201485605,10722812.0,0.0,2.165504668522579,84000009.0,USA,300755.9279238951,0.0,2021-11-08,0.0,0.0
Delaware,US,11-08-2021,39.3185,-75.5071,146139,2119,0.0,0.0,10.0,15007.64045497677,2421868.0,0.0,1.4499893936594612,84000010.0,USA,248712.00824840515,0.0,2021-11-08,0.0,0.0
Diamond Princess,US,11-08-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-11-08,0.0,0.0
District of Columbia,US,11-08-2021,38.8974,-77.0268,65050,1193,0.0,0.0,11.0,9217.1579414211,2270463.0,0.0,1.833973866256725,84000011.0,USA,321709.7013244085,0.0,2021-11-08,0.0,0.0
Florida,US,11-08-2021,27.7663,-81.6868,3701310,60418,0.0,0.0,12.0,17233.240168645327,42441901.0,0.0,1.6323409819766517,84000012.0,USA,197608.8123250601,0.0,2021-11-08,0.0,0.0
Georgia,US,11-08-2021,33.0406,-83.6431,1641036,29483,0.0,0.0,13.0,15456.066881765944,12553190.0,0.0,1.796608971405868,84000013.0,USA,118231.98529436006,0.0,2021-11-08,0.0,0.0
Grand Princess,US,11-08-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-11-08,0.0,0.0
Guam,US,11-08-2021,13.4443,144.7937,18688,249,0.0,0.0,66.0,11379.232656838924,252451.0,0.0,1.3324058219178083,316.0,GUM,153718.89252202713,0.0,2021-11-08,0.0,0.0
Hawaii,US,11-08-2021,21.0943,-157.4983,85139,962,0.0,0.0,15.0,6013.18480766623,2590516.0,0.0,1.1299169593253386,84000015.0,USA,182962.5841884012,0.0,2021-11-08,0.0,0.0
Idaho,US,11-08-2021,44.2405,-114.4788,297142,3678,0.0,0.0,16.0,16627.375053509524,1024222.0,0.0,1.2377920320924003,84000016.0,USA,57313.08038599604,0.0,2021-11-08,0.0,0.0
Illinois,US,11-08-2021,40.3495,-88.9861,1720350,28870,0.0,0.0,17.0,13576.146632753098,36109599.0,0.0,1.6519360942136607,84000017.0,USA,284959.8254268269,0.0,2021-11-08,0.0,0.0
Indiana,US,11-08-2021,39.8494,-86.2583,1038745,16916,0.0,0.0,18.0,15429.459439747876,14667353.0,0.0,1.6285036269729336,84000018.0,USA,217868.03132815496,0.0,2021-11-08,0.0,0.0
Iowa,US,11-08-2021,42.0115,-93.2105,494407,7069,0.0,0.0,19.0,15670.238695179503,1725721.0,0.0,1.4297936720151616,84000019.0,USA,54696.757916623086,0.0,2021-11-08,0.0,0.0
Kansas,US,11-08-2021,38.5266,-96.7265,443055,6536,0.0,0.0,20.0,15207.938450850132,1845310.0,0.0,1.4752118811434247,84000020.0,USA,63340.580521014905,0.0,2021-11-08,0.0,0.0
Kentucky,US,11-08-2021,37.6681,-84.6701,753338,10019,0.0,0.0,21.0,16861.97714112022,7417658.0,0.0,1.3299475135994734,84000021.0,USA,166029.5639363042,0.0,2021-11-08,0.0,0.0
Louisiana,US,11-08-2021,31.1695,-91.8678,762659,14622,0.0,0.0,22.0,16405.52366914946,9890277.0,0.0,1.9172395526703283,84000022.0,USA,212749.30659435547,0.0,2021-11-08,0.0,0.0
Maine,US,11-08-2021,44.6939,-69.3819,107772,1207,0.0,0.0,23.0,8017.4853371343215,2970932.0,0.0,1.1199569461455663,84000023.0,USA,221016.62535373887,0.0,2021-11-08,0.0,0.0
Maryland,US,11-08-2021,39.0639,-76.8021,566637,10988,0.0,0.0,24.0,9372.59332283548,14348608.0,0.0,1.939160344276848,84000024.0,USA,237336.5444416509,0.0,2021-11-08,0.0,0.0
Massachusetts,US,11-08-2021,42.2302,-71.5301,865806,15586,0.0,0.0,25.0,12561.56145307445,31573518.0,0.0,2.2052284229954515,84000025.0,USA,458084.9366333247,0.0,2021-11-08,0.0,0.0
Michigan,US,11-08-2021,43.3266,-84.5361,1319724,24027,0.0,0.0,26.0,13214.60795924083,17687606.0,0.0,1.820607945297653,84000026.0,USA,177108.83414071114,0.0,2021-11-08,0.0,0.0
Minnesota,US,11-08-2021,45.6945,-93.9002,819239,8986,0.0,0.0,27.0,14526.462010287196,12249392.0,0.0,1.0968716088955726,84000027.0,USA,217201.97346209825,0.0,2021-11-08,0.0,0.0
Mississippi,US,11-08-2021,32.7416,-89.6787,507116,10153,0.0,0.0,28.0,17039.3350601734,2585547.0,0.0,2.002106027023403,84000028.0,USA,86875.58989822082,0.0,2021-11-08,0.0,0.0
Missouri,US,11-08-2021,38.4561,-92.2884,868480,12704,0.0,0.0,29.0,14150.552967790416,7564750.0,0.0,1.4627855563743553,84000029.0,USA,123256.02842102588,0.0,2021-11-08,0.0,0.0
Montana,US,11-08-2021,46.9219,-110.4544,181350,2423,0.0,0.0,30.0,16967.976511492565,2085578.0,0.0,1.3360904328646264,84000030.0,USA,195136.6888165737,0.0,2021-11-08,0.0,0.0
Nebraska,US,11-08-2021,41.1254,-98.2681,290794,3001,0.0,0.0,31.0,15032.712850649914,3980150.0,0.0,1.0320020358054156,84000031.0,USA,205755.4559327712,0.0,2021-11-08,0.0,0.0
Nevada,US,11-08-2021,38.3135,-117.0554,445142,7758,0.0,0.0,32.0,14451.930356774135,4617149.0,0.0,1.7428146524030534,84000032.0,USA,149899.84273523805,0.0,2021-11-08,0.0,0.0
New Hampshire,US,11-08-2021,43.4525,-71.5639,141317,1599,0.0,0.0,33.0,10393.164429794271,2744792.0,0.0,1.131498687348302,84000033.0,USA,201865.8376669748,0.0,2021-11-08,0.0,0.0
New Jersey,US,11-08-2021,40.2989,-74.521,1208321,28092,0.0,0.0,34.0,13603.86346160125,16073659.0,0.0,2.324878902212243,84000034.0,USA,180965.04353093103,0.0,2021-11-08,0.0,0.0
New Mexico,US,11-08-2021,34.8405,-106.2485,286086,5124,0.0,0.0,35.0,13643.744911959917,4973444.0,0.0,1.7910698181665654,84000035.0,USA,237188.8217875659,0.0,2021-11-08,0.0,0.0
New York,US,11-08-2021,42.1657,-74.9481,2594515,56749,0.0,0.0,36.0,13336.966943995498,77050769.0,0.0,2.1872681406736905,84000036.0,USA,396075.3971984872,0.0,2021-11-08,0.0,0.0
North Carolina,US,11-08-2021,35.6301,-79.8064,1494278,18317,0.0,0.0,37.0,14247.387797428017,17047285.0,0.0,1.2258093875436833,84000037.0,USA,162539.554412417,0.0,2021-11-08,0.0,0.0
North Dakota,US,11-08-2021,47.5289,-99.784,152511,1827,0.0,0.0,38.0,19945.883668257964,1897148.0,0.0,1.2019736842105264,84000038.0,USA,248949.2980886069,0.0,2021-11-08,0.0,0.0
Northern Mariana Islands,US,11-08-2021,15.0979,145.6739,342,3,0.0,0.0,69.0,620.1944001160598,17542.0,0.0,0.8771929824561403,580.0,MNP,31811.25779776585,0.0,2021-11-08,0.0,0.0
Ohio,US,11-08-2021,40.3888,-82.7649,1575319,26546,0.0,0.0,39.0,13476.820285565183,17438455.0,0.0,1.6839129090679412,84000039.0,USA,149185.60881504993,0.0,2021-11-08,0.0,0.0
Oklahoma,US,11-08-2021,35.5653,-96.9289,650004,10879,0.0,0.0,40.0,16426.80727253245,4628491.0,0.0,1.673682008110719,84000040.0,USA,116970.55651911526,0.0,2021-11-08,0.0,0.0
Oregon,US,11-08-2021,44.572,-122.0709,374253,4620,0.0,0.0,41.0,8873.312868962668,7668268.0,0.0,1.2344590424124855,84000041.0,USA,181810.0085424957,0.0,2021-11-08,0.0,0.0
Pennsylvania,US,11-08-2021,40.5908,-77.2098,1613519,31915,0.0,0.0,42.0,12603.658697097771,18946773.0,0.0,1.9779748487622395,84000042.0,USA,147998.66645722007,0.0,2021-11-08,0.0,0.0
Puerto Rico,US,11-08-2021,18.2208,-66.5901,186197,3246,0.0,0.0,72.0,5830.145280042484,3024299.0,0.0,1.7433148761795303,630.0,PRI,94695.95396428088,0.0,2021-11-08,0.0,0.0
Rhode Island,US,11-08-2021,41.6809,-71.5118,181835,2882,0.0,0.0,44.0,17164.592617625152,5770550.0,0.0,1.5849533918112575,84000044.0,USA,544719.8830238228,0.0,2021-11-08,0.0,0.0
South Carolina,US,11-08-2021,33.8569,-80.945,904293,13896,0.0,0.0,45.0,17563.473131348914,9651853.0,0.0,1.5366700837007474,84000045.0,USA,187461.4321168353,0.0,2021-11-08,0.0,0.0
