Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,04-05-2021,32.3182,-86.9023,516918,10638,0.0,0.0,1.0,10542.494317469156,4304391.0,0.0,2.057966640743793,84000001.0,USA,87787.65231171167,0.0,2021-04-05,0.0,0.0
Alaska,US,04-05-2021,61.3707,-152.4044,64001,313,0.0,0.0,2.0,8748.744096398717,1919829.0,0.0,0.4890548585178356,84000002.0,USA,262434.84679684776,0.0,2021-04-05,0.0,0.0
American Samoa,US,04-05-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-04-05,0.0,0.0
Arizona,US,04-05-2021,33.7298,-111.4312,844910,16990,0.0,0.0,4.0,11607.95233555584,8642762.0,0.0,2.010865062551041,84000004.0,USA,118740.18456824194,0.0,2021-04-05,0.0,0.0
Arkansas,US,04-05-2021,34.9697,-92.3731,331098,5648,0.0,0.0,5.0,10971.487876614916,2875430.0,0.0,1.7058393587397085,84000005.0,USA,95282.19857883414,0.0,2021-04-05,0.0,0.0
California,US,04-05-2021,36.1162,-119.6816,3742699,58872,0.0,0.0,6.0,9473.84306876381,55087131.0,0.0,1.5659870393334698,84000006.0,USA,139417.949225484,0.0,2021-04-05,0.0,0.0
Colorado,US,04-05-2021,39.0598,-105.3111,468988,6126,0.0,0.0,8.0,8143.939920149144,7098711.0,0.0,1.3062167901950583,84000008.0,USA,123268.56101755664,0.0,2021-04-05,0.0,0.0
Connecticut,US,04-05-2021,41.5978,-72.7554,316655,7923,0.0,0.0,9.0,8881.613177284185,7273396.0,0.0,2.50209218234356,84000009.0,USA,204005.9047139824,0.0,2021-04-05,0.0,0.0
Delaware,US,04-05-2021,39.3185,-75.5071,96577,1566,0.0,0.0,10.0,9917.906186714645,1598644.0,0.0,1.6215040848235087,84000010.0,USA,164171.60626188686,0.0,2021-04-05,0.0,0.0
Diamond Princess,US,04-05-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-04-05,0.0,0.0
District of Columbia,US,04-05-2021,38.8974,-77.0268,45112,1072,0.0,0.0,11.0,6392.074236024422,1395213.0,0.0,2.376307856002837,84000011.0,USA,197692.52241235907,0.0,2021-04-05,0.0,0.0
Florida,US,04-05-2021,27.7663,-81.6868,2085306,33710,0.0,0.0,12.0,9709.151387783546,25965308.0,0.0,1.6165493217781948,84000012.0,USA,120894.05881075832,0.0,2021-04-05,0.0,0.0
Georgia,US,04-05-2021,33.0406,-83.6431,1065197,19212,0.0,0.0,13.0,10032.53802735372,7871368.0,0.0,1.803610036453351,84000013.0,USA,74136.33232847556,0.0,2021-04-05,0.0,0.0
Grand Princess,US,04-05-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-04-05,0.0,0.0
Guam,US,04-05-2021,13.4443,144.7937,7823,136,0.0,0.0,66.0,4763.47051982293,132635.0,0.0,1.738463505049214,316.0,GUM,80762.22835187451,0.0,2021-04-05,0.0,0.0
Hawaii,US,04-05-2021,21.0943,-157.4983,31430,467,0.0,0.0,15.0,2219.833431270624,1297093.0,0.0,1.4858415526566977,84000015.0,USA,91610.8942051259,0.0,2021-04-05,0.0,0.0
Idaho,US,04-05-2021,44.2405,-114.4788,181836,1972,0.0,0.0,16.0,10175.11953958026,678354.0,0.0,1.0844937196154776,84000016.0,USA,37959.111727889016,0.0,2021-04-05,0.0,0.0
Illinois,US,04-05-2021,40.3495,-88.9861,1258736,23665,0.0,0.0,17.0,9933.347385509944,20626612.0,0.0,1.880060632253308,84000017.0,USA,162775.43693207155,0.0,2021-04-05,0.0,0.0
Indiana,US,04-05-2021,39.8494,-86.2583,691625,13075,0.0,0.0,18.0,10273.358605832638,9029487.0,0.0,1.890475329839147,84000018.0,USA,134123.48885263538,0.0,2021-04-05,0.0,0.0
Iowa,US,04-05-2021,42.0115,-93.2105,353829,5822,0.0,0.0,19.0,11214.616474436383,1378785.0,0.0,1.6454275935550788,84000019.0,USA,43700.61520029666,0.0,2021-04-05,0.0,0.0
Kansas,US,04-05-2021,38.5266,-96.7265,304784,4922,0.0,0.0,20.0,10461.762789730185,1323532.0,0.0,1.6149141687227675,84000020.0,USA,45430.46166667925,0.0,2021-04-05,0.0,0.0
Kentucky,US,04-05-2021,37.6681,-84.6701,429511,6171,0.0,0.0,21.0,9613.751946483102,4235588.0,0.0,1.4367501647222074,84000021.0,USA,94805.23753640876,0.0,2021-04-05,0.0,0.0
Louisiana,US,04-05-2021,31.1695,-91.8678,446737,10165,0.0,0.0,22.0,9609.739644303449,6067042.0,0.0,2.2753879799524106,84000022.0,USA,130507.86935278268,0.0,2021-04-05,0.0,0.0
Maine,US,04-05-2021,44.6939,-69.3819,51986,746,0.0,0.0,23.0,3867.395916715518,1803463.0,0.0,1.4350017312353327,84000023.0,USA,134165.07217611506,0.0,2021-04-05,0.0,0.0
Maryland,US,04-05-2021,39.0639,-76.8021,418188,8363,0.0,0.0,24.0,6917.137526299771,8903400.0,0.0,1.999818263556104,84000024.0,USA,147268.79358484075,0.0,2021-04-05,0.0,0.0
Massachusetts,US,04-05-2021,42.2302,-71.5301,646220,13876,0.0,0.0,25.0,9375.694141881404,19138478.0,0.0,2.680975519173037,84000025.0,USA,277670.94189150154,0.0,2021-04-05,0.0,0.0
Michigan,US,04-05-2021,43.3266,-84.5361,779974,17282,0.0,0.0,26.0,7810.004689162967,11644233.0,0.0,2.215714882803786,84000026.0,USA,116595.57155970093,0.0,2021-04-05,0.0,0.0
Minnesota,US,04-05-2021,45.6945,-93.9002,527650,6963,0.0,0.0,27.0,9356.106923288611,7784787.0,0.0,1.3196247512555672,84000027.0,USA,138037.14497683538,0.0,2021-04-05,0.0,0.0
Mississippi,US,04-05-2021,32.7416,-89.6787,306158,7055,0.0,0.0,28.0,10287.052160358906,1833145.0,0.0,2.30436571966109,84000028.0,USA,61594.53038137539,0.0,2021-04-05,0.0,0.0
Missouri,US,04-05-2021,38.4561,-92.2884,584555,8867,0.0,0.0,29.0,9524.429451555276,4945939.0,0.0,1.5168803619847575,84000029.0,USA,80586.50952809548,0.0,2021-04-05,0.0,0.0
Montana,US,04-05-2021,46.9219,-110.4544,105142,1466,0.0,0.0,30.0,9837.590219858568,1220772.0,0.0,1.3943048448764528,84000030.0,USA,114221.28823759472,0.0,2021-04-05,0.0,0.0
Nebraska,US,04-05-2021,41.1254,-98.2681,211958,2181,0.0,0.0,31.0,10957.25410564886,2649961.0,0.0,1.0289774389265798,84000031.0,USA,136990.80028618575,0.0,2021-04-05,0.0,0.0
Nevada,US,04-05-2021,38.3135,-117.0554,305357,5275,0.0,0.0,32.0,9913.68618992025,2975136.0,0.0,1.727486188297632,84000032.0,USA,96590.43243264302,0.0,2021-04-05,0.0,0.0
New Hampshire,US,04-05-2021,43.4525,-71.5639,86125,1249,0.0,0.0,33.0,6334.066577382988,1700701.0,0.0,1.4502177068214803,84000033.0,USA,125078.12321883104,0.0,2021-04-05,0.0,0.0
New Jersey,US,04-05-2021,40.2989,-74.521,930026,24649,0.0,0.0,34.0,10470.683468829196,12349910.0,0.0,2.650356011552365,84000034.0,USA,139041.27247897198,0.0,2021-04-05,0.0,0.0
New Mexico,US,04-05-2021,34.8405,-106.2485,192595,3953,0.0,0.0,35.0,9185.05991666464,3023441.0,0.0,2.052493574599548,84000035.0,USA,144191.10952776787,0.0,2021-04-05,0.0,0.0
New York,US,04-05-2021,42.1657,-74.9481,1912396,50504,0.0,0.0,36.0,9830.5703516184,45910071.0,0.0,2.64087563454431,84000036.0,USA,235998.2884367545,0.0,2021-04-05,0.0,0.0
North Carolina,US,04-05-2021,35.6301,-79.8064,922560,12173,0.0,0.0,37.0,8796.268222108061,10546065.0,0.0,1.3194805757891086,84000037.0,USA,100552.82738010108,0.0,2021-04-05,0.0,0.0
North Dakota,US,04-05-2021,47.5289,-99.784,103767,1497,0.0,0.0,38.0,13609.653807695437,1474725.0,0.0,1.443392406039686,84000038.0,USA,193517.71903073505,0.0,2021-04-05,0.0,0.0
Northern Mariana Islands,US,04-05-2021,15.0979,145.6739,159,2,0.0,0.0,69.0,288.3359930364137,17542.0,0.0,1.2578616352201255,580.0,MNP,31811.25779776585,0.0,2021-04-05,0.0,0.0
Ohio,US,04-05-2021,40.3888,-82.7649,1026929,19368,0.0,0.0,39.0,8785.355587684253,11102887.0,0.0,1.8863037269373053,84000039.0,USA,94984.96034767434,0.0,2021-04-05,0.0,0.0
Oklahoma,US,04-05-2021,35.5653,-96.9289,441436,4953,0.0,0.0,40.0,11155.906879277103,3787022.0,0.0,1.1220199530622783,84000040.0,USA,95705.0734008412,0.0,2021-04-05,0.0,0.0
Oregon,US,04-05-2021,44.572,-122.0709,167128,2394,0.0,0.0,41.0,3962.5040631978713,4224745.0,0.0,1.4324350198650135,84000041.0,USA,100166.15545255666,0.0,2021-04-05,0.0,0.0
Pennsylvania,US,04-05-2021,40.5908,-77.2098,1055369,25195,0.0,0.0,42.0,8243.789304927539,11844487.0,0.0,2.387316663650344,84000042.0,USA,92520.67784154476,0.0,2021-04-05,0.0,0.0
Puerto Rico,US,04-05-2021,18.2208,-66.5901,110022,2136,0.0,0.0,72.0,3444.9762563351405,1864626.0,0.0,1.941429895839014,630.0,PRI,58384.61668525538,0.0,2021-04-05,0.0,0.0
Rhode Island,US,04-05-2021,41.6809,-71.5118,139173,2629,0.0,0.0,44.0,13137.44795211453,3564937.0,0.0,1.889015829219748,84000044.0,USA,336517.6743338673,0.0,2021-04-05,0.0,0.0
South Carolina,US,04-05-2021,33.8569,-80.945,556469,9203,0.0,0.0,45.0,10807.92213356578,5708627.0,0.0,1.6538207878605995,84000045.0,USA,110874.81262311326,0.0,2021-04-05,0.0,0.0
South Dakota,US,04-05-2021,44.2998,-99.4388,118517,1938,0.0,0.0,46.0,13396.91338696605,740904.0,0.0,1.6352084511082798,84000046.0,USA,83750.23596662669,0.0,2021-04-05,0.0,0.0
Tennessee,US,04-05-2021,35.7478,-86.6923,811121,11905,0.0,0.0,47.0,11881.832268441249,7239995.0,0.0,1.4703653175685918,84000047.0,USA,106015.6762735874,0.0,2021-04-05,0.0,0.0
Texas,US,04-05-2021,31.0545,-97.5635,2841793,48729,0.0,0.0,48.0,9800.678241161218,21634606.0,0.0,1.714727286610953,84000048.0,USA,74612.6872296103,0.0,2021-04-05,0.0,0.0
Utah,US,04-05-2021,40.15,-111.8624,387514,2133,0.0,0.0,49.0,12087.30744445186,3114079.0,0.0,0.550431726337629,84000049.0,USA,97134.11716560226,0.0,2021-04-05,0.0,0.0
Vermont,US,04-05-2021,44.0459,-72.7107,20267,229,0.0,0.0,50.0,3247.973922617225,1374668.0,0.0,1.129915626387724,84000050.0,USA,220303.24252510865,0.0,2021-04-05,0.0,0.0
Virgin Islands,US,04-05-2021,18.3358,-64.8963,2945,26,0.0,0.0,78.0,2745.459969422381,70658.0,0.0,0.8828522920203735,850.0,VIR,65870.52988775776,0.0,2021-04-05,0.0,0.0
Virginia,US,04-05-2021,37.7693,-78.17,626171,10360,0.0,0.0,51.0,7336.062399954824,6565563.0,0.0,1.6545001285591316,84000051.0,USA,76920.48954492397,0.0,2021-04-05,0.0,0.0
Washington,US,04-05-2021,47.4009,-121.4905,370017,5285,0.0,0.0,53.0,4859.122774279297,5976673.0,0.0,1.428312753197826,84000053.0,USA,78486.631394558,0.0,2021-04-05,0.0,0.0
West Virginia,US,04-05-2021,38.4912,-80.9545,143733,2696,0.0,0.0,54.0,8020.156828653006,2518089.0,0.0,1.8757000827924,84000054.0,USA,140506.8334238207,0.0,2021-04-05,0.0,0.0
Wisconsin,US,04-05-2021,44.2685,-89.6165,639553,7341,0.0,0.0,55.0,10984.289388252404,7727802.0,0.0,1.14783293956873,84000055.0,USA,1.3272459593359066e-05,0.0,2021-04-05,0.0,0.0
Wyoming,US,04-05-2021,42.756,-107.3025,56529,700,0.0,0.0,56.0,9767.27791706047,690092.0,0.0,1.2383024642219038,84000056.0,USA,119236.50431353984,0.0,2021-04-05,0.0,0.0
