Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-04-20 04:30:55,32.3182,-86.9023,522512,10790,0.0,0.0,1.0,10656.583424855477,4394964.0,0.0,2.0650243439385125,84000001.0,USA,89634.88018502259,0.0,2021-04-19,0.0,0.0
Alaska,US,2021-04-20 04:30:55,61.3707,-152.4044,66370,334,0.0,0.0,2.0,9072.579267167432,2009651.0,0.0,0.5032394153985235,84000002.0,USA,274713.24388793577,0.0,2021-04-19,0.0,0.0
American Samoa,US,2021-04-20 04:30:55,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-04-19,0.0,0.0
Arizona,US,2021-04-20 04:30:55,33.7298,-111.4312,854453,17153,0.0,0.0,4.0,11739.060606422809,8932024.0,0.0,2.00748315003868,84000004.0,USA,122714.26406604351,0.0,2021-04-19,0.0,0.0
Arkansas,US,2021-04-20 04:30:55,34.9697,-92.3731,333511,5699,0.0,0.0,5.0,11051.446681096586,2929089.0,0.0,1.7087892153482194,84000005.0,USA,97060.27959403592,0.0,2021-04-19,0.0,0.0
California,US,2021-04-20 07:30:55,36.1162,-119.6816,3783162,60078,0.0,0.0,6.0,9576.256947122412,57733460.0,0.0,1.5819051364345609,84000006.0,USA,146115.4438210171,0.0,2021-04-19,0.0,0.0
Colorado,US,2021-04-20 04:30:55,39.0598,-105.3111,491066,6201,0.0,0.0,8.0,8527.322662473154,7486098.0,0.0,1.2627630501806275,84000008.0,USA,129995.50595825196,0.0,2021-04-19,0.0,0.0
Connecticut,US,2021-04-20 04:30:55,41.5978,-72.7554,331401,8014,0.0,0.0,9.0,9295.212419084351,7697168.0,0.0,2.418218412135148,84000009.0,USA,215891.9604508697,0.0,2021-04-19,0.0,0.0
Delaware,US,2021-04-20 04:30:55,39.3185,-75.5071,101547,1602,0.0,0.0,10.0,10428.296794705904,1663990.0,0.0,1.5775946113622263,84000010.0,USA,170882.26716124234,0.0,2021-04-19,0.0,0.0
Diamond Princess,US,2021-04-20 04:30:55,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-04-19,0.0,0.0
District of Columbia,US,2021-04-20 04:30:55,38.8974,-77.0268,46740,1096,0.0,0.0,11.0,6622.751148071056,1458692.0,0.0,2.3448866067608045,84000011.0,USA,206687.07996752387,0.0,2021-04-19,0.0,0.0
Florida,US,2021-04-20 04:30:55,27.7663,-81.6868,2173138,34471,0.0,0.0,12.0,10118.09577517408,27088044.0,0.0,1.5862315232626736,84000012.0,USA,126121.49967196264,0.0,2021-04-19,0.0,0.0
Georgia,US,2021-04-20 04:30:55,33.0406,-83.6431,1085161,19784,0.0,0.0,13.0,10220.568588065107,8108632.0,0.0,1.8231396078554245,84000013.0,USA,76370.99887609262,0.0,2021-04-19,0.0,0.0
Grand Princess,US,2021-04-20 04:30:55,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-04-19,0.0,0.0
Guam,US,2021-04-20 04:30:55,13.4443,144.7937,7879,136,0.0,0.0,66.0,4797.569247818595,137966.0,0.0,1.7261073740322377,316.0,GUM,84008.30547589037,0.0,2021-04-19,0.0,0.0
Hawaii,US,2021-04-20 04:30:55,21.0943,-157.4983,32823,474,0.0,0.0,15.0,2318.2180310084527,1372671.0,0.0,1.4441093135910794,84000015.0,USA,96948.80610676671,0.0,2021-04-19,0.0,0.0
Idaho,US,2021-04-20 04:30:55,44.2405,-114.4788,185227,2022,0.0,0.0,16.0,10364.872010811025,693573.0,0.0,1.091633509153633,84000016.0,USA,38810.73156264601,0.0,2021-04-19,0.0,0.0
