Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,08-15-2021,32.3182,-86.9023,634897,11798,0.0,0.0,1.0,12948.6650004028,5153445.0,0.0,1.858254173511609,84000001.0,USA,105104.0293197177,0.0,2021-08-15,0.0,0.0
Alaska,US,08-15-2021,61.3707,-152.4044,79823,403,0.0,0.0,2.0,10911.56388192114,2585595.0,0.0,0.5048670182779399,84000002.0,USA,353443.0554511342,0.0,2021-08-15,0.0,0.0
American Samoa,US,08-15-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-08-15,0.0,0.0
Arizona,US,08-15-2021,33.7298,-111.4312,965462,18464,0.0,0.0,4.0,13264.178288563768,11135053.0,0.0,1.9124522767338328,84000004.0,USA,152980.98552258592,0.0,2021-08-15,0.0,0.0
Arkansas,US,08-15-2021,34.9697,-92.3731,419807,6467,0.0,0.0,5.0,13911.009462509825,3459097.0,0.0,1.5404697873070243,84000005.0,USA,114622.98413018209,0.0,2021-08-15,0.0,0.0
California,US,08-15-2021,36.1162,-119.6816,4227639,64251,0.0,0.0,6.0,10700.870968459558,76793736.0,0.0,1.5198365621671122,84000006.0,USA,194354.3799092245,0.0,2021-08-15,0.0,0.0
Colorado,US,08-15-2021,39.0598,-105.3111,589526,7032,0.0,0.0,8.0,10237.072857654874,9727047.0,0.0,1.1928227084131997,84000008.0,USA,168909.40998163485,0.0,2021-08-15,0.0,0.0
Connecticut,US,08-15-2021,41.5978,-72.7554,361836,8307,0.0,0.0,9.0,10148.860386274651,9264240.0,0.0,2.2957914635359664,84000009.0,USA,259845.5608202089,0.0,2021-08-15,0.0,0.0
Delaware,US,08-15-2021,39.3185,-75.5071,114486,1838,0.0,0.0,10.0,11757.058178367652,1993876.0,0.0,1.6054364725818004,84000010.0,USA,204759.6748288085,0.0,2021-08-15,0.0,0.0
Diamond Princess,US,08-15-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-08-15,0.0,0.0
District of Columbia,US,08-15-2021,38.8974,-77.0268,52201,1150,0.0,0.0,11.0,7396.538996158691,1777003.0,0.0,2.2030229305951994,84000011.0,USA,251789.6589297328,0.0,2021-08-15,0.0,0.0
Florida,US,08-15-2021,27.7663,-81.6868,2920749,40766,0.0,0.0,12.0,13598.960635377927,35106410.0,0.0,1.3957378740864073,84000012.0,USA,163454.8835382424,0.0,2021-08-15,0.0,0.0
Georgia,US,08-15-2021,33.0406,-83.6431,1252615,21978,0.0,0.0,13.0,11797.73095599563,9811889.0,0.0,1.7545694407299928,84000013.0,USA,92413.09308294488,0.0,2021-08-15,0.0,0.0
Grand Princess,US,08-15-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-08-15,0.0,0.0
Guam,US,08-15-2021,13.4443,144.7937,8911,143,0.0,0.0,66.0,5425.960092310128,182876.0,0.0,1.6047581640668835,316.0,GUM,111354.26751669924,0.0,2021-08-15,0.0,0.0
Hawaii,US,08-15-2021,21.0943,-157.4983,51200,552,0.0,0.0,15.0,3616.146092302129,1956634.0,0.0,1.078125,84000015.0,USA,138192.85924151336,0.0,2021-08-15,0.0,0.0
Idaho,US,08-15-2021,44.2405,-114.4788,208054,2245,0.0,0.0,16.0,11642.217826436085,846688.0,0.0,1.0790467859305757,84000016.0,USA,47378.69075831041,0.0,2021-08-15,0.0,0.0
Illinois,US,08-15-2021,40.3495,-88.9861,1457692,26092,0.0,0.0,17.0,11503.374297979746,27609781.0,0.0,1.7854999049864615,84000017.0,USA,217883.2939638273,0.0,2021-08-15,0.0,0.0
Indiana,US,08-15-2021,39.8494,-86.2583,796733,14128,0.0,0.0,18.0,11834.62688899455,11558469.0,0.0,1.7732414748730128,84000018.0,USA,171688.84434686397,0.0,2021-08-15,0.0,0.0
Iowa,US,08-15-2021,42.0115,-93.2105,389223,6210,0.0,0.0,19.0,12336.42993657827,1541795.0,0.0,1.595486392119685,84000019.0,USA,48867.220061678505,0.0,2021-08-15,0.0,0.0
Kansas,US,08-15-2021,38.5266,-96.7265,348850,5391,0.0,0.0,20.0,11974.335756461542,1551046.0,0.0,1.5453633366776551,84000020.0,USA,53239.91852577512,0.0,2021-08-15,0.0,0.0
