Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,10-22-2021,32.3182,-86.9023,818652,15378,0.0,0.0,1.0,16696.331058281507,5961814.0,0.0,1.878453848521716,84000001.0,USA,121590.63955367786,0.0,2021-10-22,0.0,0.0
Alaska,US,10-22-2021,61.3707,-152.4044,133272,698,0.0,0.0,2.0,18217.881333342448,3249545.0,0.0,0.5237409208235788,84000002.0,USA,444203.0223704626,0.0,2021-10-22,0.0,0.0
American Samoa,US,10-22-2021,-14.271,-170.132,3,0,0.0,0.0,60.0,5.3917075537822825,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-10-22,0.0,0.0
Arizona,US,10-22-2021,33.7298,-111.4312,1145196,20821,0.0,0.0,4.0,15733.48709669575,13298231.0,0.0,1.81811672412408,84000004.0,USA,182700.20664356093,0.0,2021-10-22,0.0,0.0
Arkansas,US,10-22-2021,34.9697,-92.3731,509559,8255,0.0,0.0,5.0,16885.09260376088,4041275.0,0.0,1.6200282989800985,84000005.0,USA,133914.42916769945,0.0,2021-10-22,0.0,0.0
California,US,10-22-2021,36.1162,-119.6816,4866389,71274,0.0,0.0,6.0,12316.444458212336,99372992.0,0.0,1.465693729437228,84000006.0,USA,251499.37020754308,0.0,2021-10-22,0.0,0.0
Colorado,US,10-22-2021,39.0598,-105.3111,720620,8029,0.0,0.0,8.0,12513.509909118946,11789313.0,0.0,1.1141794565790568,84000008.0,USA,204720.4976925492,0.0,2021-10-22,0.0,0.0
Connecticut,US,10-22-2021,41.5978,-72.7554,400226,8739,0.0,0.0,9.0,11225.632045891396,10463360.0,0.0,2.183516313282995,84000009.0,USA,293478.7578110823,0.0,2021-10-22,0.0,0.0
Delaware,US,10-22-2021,39.3185,-75.5071,141717,2045,0.0,0.0,10.0,14553.526316438069,2329026.0,0.0,1.4430167164136978,84000010.0,USA,239177.6652248389,0.0,2021-10-22,0.0,0.0
Diamond Princess,US,10-22-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-10-22,0.0,0.0
District of Columbia,US,10-22-2021,38.8974,-77.0268,63588,1186,0.0,0.0,11.0,9010.002139570868,2167758.0,0.0,1.865131785871548,84000011.0,USA,307157.07709114713,0.0,2021-10-22,0.0,0.0
Florida,US,10-22-2021,27.7663,-81.6868,3678661,58803,0.0,0.0,12.0,17127.786786848166,41337866.0,0.0,1.5984892329029503,84000012.0,USA,192468.44302078945,0.0,2021-10-22,0.0,0.0
Georgia,US,10-22-2021,33.0406,-83.6431,1625399,28519,0.0,0.0,13.0,15308.790089647931,12188229.0,0.0,1.7545845666202575,84000013.0,USA,114794.6069399326,0.0,2021-10-22,0.0,0.0
Grand Princess,US,10-22-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-10-22,0.0,0.0
Guam,US,10-22-2021,13.4443,144.7937,17472,227,0.0,0.0,66.0,10638.803134647353,242725.0,0.0,1.2992216117216118,316.0,GUM,147796.6741562087,0.0,2021-10-22,0.0,0.0
Hawaii,US,10-22-2021,21.0943,-157.4983,83020,883,0.0,0.0,15.0,5863.52438638521,2493289.0,0.0,1.063599132739099,84000015.0,USA,176095.6498892555,0.0,2021-10-22,0.0,0.0
Idaho,US,10-22-2021,44.2405,-114.4788,284278,3403,0.0,0.0,16.0,15907.535540117457,998314.0,0.0,1.1970676591224083,84000016.0,USA,55863.32897796106,0.0,2021-10-22,0.0,0.0
Illinois,US,10-22-2021,40.3495,-88.9861,1680922,28409,0.0,0.0,17.0,13264.928537106072,34343988.0,0.0,1.6671346676915095,84000017.0,USA,271026.46099562175,0.0,2021-10-22,0.0,0.0
Indiana,US,10-22-2021,39.8494,-86.2583,1010589,16470,0.0,0.0,18.0,15011.231809303888,14231073.0,0.0,1.6297426550259304,84000018.0,USA,211387.55290046264,0.0,2021-10-22,0.0,0.0
Iowa,US,10-22-2021,42.0115,-93.2105,476426,6848,0.0,0.0,19.0,15100.33057903628,1702191.0,0.0,1.43736907725439,84000019.0,USA,53950.974146373934,0.0,2021-10-22,0.0,0.0
Kansas,US,10-22-2021,38.5266,-96.7265,429672,6215,0.0,0.0,20.0,14748.564692992242,1804032.0,0.0,1.446452177474911,84000020.0,USA,61923.706129857615,0.0,2021-10-22,0.0,0.0
Kentucky,US,10-22-2021,37.6681,-84.6701,734137,9559,0.0,0.0,21.0,16432.20083475223,7224349.0,0.0,1.3020730463115195,84000021.0,USA,161702.72533374757,0.0,2021-10-22,0.0,0.0
Louisiana,US,10-22-2021,31.1695,-91.8678,755631,14462,0.0,0.0,22.0,16254.344675199633,9611007.0,0.0,1.9138971270368736,84000022.0,USA,206741.942103694,0.0,2021-10-22,0.0,0.0
Maine,US,10-22-2021,44.6939,-69.3819,100382,1115,0.0,0.0,23.0,7467.720865458722,2892177.0,0.0,1.1107569086091131,84000023.0,USA,215157.80248948827,0.0,2021-10-22,0.0,0.0
Maryland,US,10-22-2021,39.0639,-76.8021,554456,10785,0.0,0.0,24.0,9171.110611213297,13765901.0,0.0,1.9451498405644447,84000024.0,USA,227698.141482844,0.0,2021-10-22,0.0,0.0
Massachusetts,US,10-22-2021,42.2302,-71.5301,842652,15421,0.0,0.0,25.0,12225.631240204031,30355795.0,0.0,2.2442241874463007,84000025.0,USA,440417.58124733495,0.0,2021-10-22,0.0,0.0
Michigan,US,10-22-2021,43.3266,-84.5361,1247023,23309,0.0,0.0,26.0,12486.641192519328,17070342.0,0.0,1.869171619128116,84000026.0,USA,170928.07076340436,0.0,2021-10-22,0.0,0.0
Minnesota,US,10-22-2021,45.6945,-93.9002,770246,8661,0.0,0.0,27.0,13657.735114631592,11831652.0,0.0,1.1244459562269715,84000027.0,USA,209794.7525654156,0.0,2021-10-22,0.0,0.0
Mississippi,US,10-22-2021,32.7416,-89.6787,501097,9990,0.0,0.0,28.0,16837.093841739777,2537353.0,0.0,1.9936259845898097,84000028.0,USA,85256.24893108512,0.0,2021-10-22,0.0,0.0
Missouri,US,10-22-2021,38.4561,-92.2884,851743,12449,0.0,0.0,29.0,13877.84915766018,7346943.0,0.0,1.4615911137514486,84000029.0,USA,119707.1965650758,0.0,2021-10-22,0.0,0.0
Montana,US,10-22-2021,46.9219,-110.4544,170567,2247,0.0,0.0,30.0,15959.067271220028,1990724.0,0.0,1.317370886513804,84000030.0,USA,186261.69326090167,0.0,2021-10-22,0.0,0.0
Nebraska,US,10-22-2021,41.1254,-98.2681,278976,2938,0.0,0.0,31.0,14421.776584877647,3854650.0,0.0,1.0531371874283093,84000031.0,USA,199267.68292935105,0.0,2021-10-22,0.0,0.0
Nevada,US,10-22-2021,38.3135,-117.0554,434898,7522,0.0,0.0,32.0,14119.349799166015,4481473.0,0.0,1.7296009639041798,84000032.0,USA,145495.0009025517,0.0,2021-10-22,0.0,0.0
New Hampshire,US,10-22-2021,43.4525,-71.5639,131790,1543,0.0,0.0,33.0,9692.500832897578,2628274.0,0.0,1.1708020335382048,84000033.0,USA,193296.51668626643,0.0,2021-10-22,0.0,0.0
New Jersey,US,10-22-2021,40.2989,-74.521,1187569,27828,0.0,0.0,34.0,13370.227387614992,15942739.0,0.0,2.3432743697418843,84000034.0,USA,179491.08271721273,0.0,2021-10-22,0.0,0.0
New Mexico,US,10-22-2021,34.8405,-106.2485,268891,4987,0.0,0.0,35.0,12823.69711597846,4786729.0,0.0,1.854654860147792,84000035.0,USA,228284.1853102948,0.0,2021-10-22,0.0,0.0
New York,US,10-22-2021,42.1657,-74.9481,2527230,56169,0.0,0.0,36.0,12991.09196511631,74130043.0,0.0,2.2225519640080247,84000036.0,USA,381061.5598861309,0.0,2021-10-22,0.0,0.0
North Carolina,US,10-22-2021,35.6301,-79.8064,1463410,17765,0.0,0.0,37.0,13953.07283961494,16551690.0,0.0,1.213945510827451,84000037.0,USA,157814.23947405454,0.0,2021-10-22,0.0,0.0
North Dakota,US,10-22-2021,47.5289,-99.784,144289,1749,0.0,0.0,38.0,18907.647934157587,1841022.0,0.0,1.2138415412803287,84000038.0,USA,241584.2805441027,0.0,2021-10-22,0.0,0.0
Northern Mariana Islands,US,10-22-2021,15.0979,145.6739,290,3,0.0,0.0,69.0,525.8958363557232,17542.0,0.0,1.0344827586206895,580.0,MNP,31811.25779776585,0.0,2021-10-22,0.0,0.0
Ohio,US,10-22-2021,40.3888,-82.7649,1515838,25453,0.0,0.0,39.0,12967.96160525618,16937356.0,0.0,1.678147664856007,84000039.0,USA,144898.71760871238,0.0,2021-10-22,0.0,0.0
Oklahoma,US,10-22-2021,35.5653,-96.9289,638957,10540,0.0,0.0,40.0,16147.629082952591,4605210.0,0.0,1.6495632726458902,84000040.0,USA,116382.20244727597,0.0,2021-10-22,0.0,0.0
