Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,03-14-2022,32.3182,-86.9023,1289510,18890,0.0,0.0,1.0,26299.435978858644,7343006.0,0.0,1.4648975192127245,84000001.0,USA,149759.92135724027,0.0,2022-03-14,0.0,0.0
Alaska,US,03-14-2022,61.3707,-152.4044,243910,1201,0.0,0.0,2.0,33341.762981087966,4057015.0,0.0,0.4923947357631913,84000002.0,USA,554581.7413829635,0.0,2022-03-14,0.0,0.0
American Samoa,US,03-14-2022,-14.271,-170.132,555,0,0.0,0.0,60.0,997.4658974497224,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2022-03-14,0.0,0.0
Arizona,US,03-14-2022,33.7298,-111.4312,1987318,28090,0.0,0.0,4.0,27303.13597849731,18462184.0,0.0,1.413462767408135,84000004.0,USA,253646.1302177293,0.0,2022-03-14,0.0,0.0
Arkansas,US,03-14-2022,34.9697,-92.3731,826913,10950,0.0,0.0,5.0,27401.14997528004,5006944.0,0.0,1.3242021833010245,84000005.0,USA,165913.49206244008,0.0,2022-03-14,0.0,0.0
California,US,03-14-2022,36.1162,-119.6816,9051135,87492,0.0,0.0,6.0,22895.20384616173,150236227.0,0.0,0.967964729410714,84000006.0,USA,380227.2198149925,0.0,2022-03-14,0.0,0.0
Colorado,US,03-14-2022,39.0598,-105.3111,1326391,11860,0.0,0.0,8.0,23032.67592054924,16816696.0,0.0,0.8941556449041045,84000008.0,USA,292020.6100783228,0.0,2022-03-14,0.0,0.0
Connecticut,US,03-14-2022,41.5978,-72.7554,730506,10655,0.0,0.0,9.0,20489.402395936148,13443916.0,0.0,1.4585780267376312,84000009.0,USA,377078.08656077343,0.0,2022-03-14,0.0,0.0
Delaware,US,03-14-2022,39.3185,-75.5071,258226,2807,0.0,0.0,10.0,26518.335038058507,3164679.0,0.0,1.0870322895448172,84000010.0,USA,324994.45450848463,0.0,2022-03-14,0.0,0.0
Diamond Princess,US,03-14-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2022-03-14,0.0,0.0
District of Columbia,US,03-14-2022,38.8974,-77.0268,135223,1326,0.0,0.0,11.0,19075.195288976684,3067883.0,0.0,0.9797731442621246,84000011.0,USA,434698.8801967839,0.0,2022-03-14,0.0,0.0
Florida,US,03-14-2022,27.7663,-81.6868,5868263,72039,0.0,0.0,12.0,27322.538682729937,54939102.0,0.0,1.22760346630681,84000012.0,USA,255795.5803258044,0.0,2022-03-14,0.0,0.0
Georgia,US,03-14-2022,33.0406,-83.6431,2477737,36247,0.0,0.0,13.0,23336.51960555777,16952647.0,0.0,1.4629074837240594,84000013.0,USA,159668.18878742986,0.0,2022-03-14,0.0,0.0
Grand Princess,US,03-14-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2022-03-14,0.0,0.0
Guam,US,03-14-2022,13.4443,144.7937,46411,338,0.0,0.0,66.0,28259.929732264096,368495.0,0.0,0.7282756243132016,316.0,GUM,224378.763799329,0.0,2022-03-14,0.0,0.0
Hawaii,US,03-14-2022,21.0943,-157.4983,237672,1354,0.0,0.0,15.0,16786.26316503187,3656412.0,0.0,0.5696926857181326,84000015.0,USA,258244.5305790354,0.0,2022-03-14,0.0,0.0
Idaho,US,03-14-2022,44.2405,-114.4788,439103,4819,0.0,0.0,16.0,24571.182357664664,1199363.0,0.0,1.0974646039767435,84000016.0,USA,67113.56330071934,0.0,2022-03-14,0.0,0.0
Illinois,US,03-14-2022,40.3495,-88.9861,3048043,37342,0.0,0.0,17.0,24053.70151614357,55731994.0,0.0,1.1659944318352569,84000017.0,USA,439810.458181188,0.0,2022-03-14,0.0,0.0
Indiana,US,03-14-2022,39.8494,-86.2583,1687268,23178,0.0,0.0,18.0,25062.58337704106,19149959.0,0.0,1.373699969418018,84000018.0,USA,284452.4071483712,0.0,2022-03-14,0.0,0.0
Iowa,US,03-14-2022,42.0115,-93.2105,756778,9262,0.0,0.0,19.0,23986.092226162968,0.0,0.0,1.2238727869996222,84000019.0,USA,0.0,0.0,2022-03-14,0.0,0.0
Kansas,US,03-14-2022,38.5266,-96.7265,769511,8028,0.0,0.0,20.0,26413.596337367,2257427.0,0.0,1.0432599404037108,84000020.0,USA,77486.56684449394,0.0,2022-03-14,0.0,0.0
Kentucky,US,03-14-2022,37.6681,-84.6701,1288706,14097,0.0,0.0,21.0,28845.128101362843,0.0,0.0,1.0938879775526769,84000021.0,USA,0.0,0.0,2022-03-14,0.0,0.0
Louisiana,US,03-14-2022,31.1695,-91.8678,1230190,16913,0.0,0.0,22.0,25092.24973186594,12844076.0,0.0,1.4499090002717558,84000022.0,USA,276288.34489116963,0.0,2022-03-14,0.0,0.0
Maine,US,03-14-2022,44.6939,-69.3819,232293,2145,0.0,0.0,23.0,17280.97948835452,3898984.0,0.0,0.9234027714997868,84000023.0,USA,290057.22311659175,0.0,2022-03-14,0.0,0.0
Maryland,US,03-14-2022,39.0639,-76.8021,1006782,14263,0.0,0.0,24.0,16652.91580103479,19180498.0,0.0,1.4166919948906516,84000024.0,USA,317259.5638538593,0.0,2022-03-14,0.0,0.0
