FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
16.0,04-13-2020,ID,44.2405,-114.4788,1426,27,924.0004793551308,1.893408134642356
17.0,04-13-2020,IL,40.3495,-88.9861,22025,798,901.2536413610728,3.623155505107832
18.0,04-13-2020,IN,39.8494,-86.2583,8359,483,680.6088147391333,5.778203134346214
19.0,04-13-2020,IA,42.0115,-93.2105,1710,41,713.3936451645029,2.3976608187134505
20.0,04-13-2020,KS,38.5266,-96.7265,1390,61,568.549035303844,4.388489208633094
21.0,04-13-2020,KY,37.6681,-84.6701,2018,113,755.5860524177965,5.599603567888999
22.0,04-13-2020,LA,31.1695,-91.8678,21016,884,2351.20177949242,4.206318995051389
23.0,04-13-2020,ME,44.6939,-69.3819,698,19,1048.2058865116533,2.722063037249284
24.0,04-13-2020,MD,39.0639,-76.8021,8936,262,870.7400811160737,2.9319606087735006
25.0,04-13-2020,MA,42.2302,-71.5301,26867,844,1778.162211681857,3.141400230766368
26.0,04-13-2020,MI,43.3266,-84.5361,25635,1602,1037.2952605155676,6.249268578115857
27.0,04-13-2020,MN,45.6945,-93.9002,1621,70,776.8608006637493,4.318322023442319
28.0,04-13-2020,MS,32.7416,-89.6787,2942,98,1070.1829161724588,3.3310673011556764
29.0,04-13-2020,MO,38.4561,-92.2884,4568,128,775.2938156716255,2.8021015761821366
30.0,04-13-2020,MT,46.9219,-110.4544,394,7,1050.5931382341766,1.7766497461928934
31.0,04-13-2020,NE,41.1254,-98.2681,814,17,719.3471066144268,2.0884520884520885
32.0,04-13-2020,NV,38.3135,-117.0554,2990,114,844.1020095820031,3.812709030100335
33.0,04-13-2020,NH,43.4525,-71.5639,985,23,877.245238142517,2.33502538071066
34.0,04-13-2020,NJ,40.2989,-74.521,64584,2443,1457.624752454068,3.7826706304967175
35.0,04-13-2020,NM,34.8405,-106.2485,1262,26,1829.9487926175973,2.060221870047544
36.0,04-13-2020,NY,42.1657,-74.9481,195749,10026,2837.057652188998,5.121865245799468
37.0,04-13-2020,NC,35.6301,-79.8064,4886,94,639.1288456448584,1.9238641015145312
38.0,04-13-2020,ND,47.5289,-99.784,341,8,1777.816621538279,2.416918429003021
39.0,04-13-2020,OH,40.3888,-82.7649,6975,399,582.7171630931477,5.720430107526882
