Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
07/27/2022,01/01/2020,07/23/2022,Male,39 Years,18653,1662
07/27/2022,01/01/2020,07/23/2022,Female,40 Years,10195,1147
07/27/2022,01/01/2020,07/23/2022,Male,40 Years,19201,1698
07/27/2022,01/01/2020,07/23/2022,Female,41 Years,10718,1167
07/27/2022,01/01/2020,07/23/2022,Male,41 Years,19792,1940
07/27/2022,01/01/2020,07/23/2022,Female,42 Years,10991,1313
07/27/2022,01/01/2020,07/23/2022,Male,42 Years,19792,2105
07/27/2022,01/01/2020,07/23/2022,Female,43 Years,11461,1410
07/27/2022,01/01/2020,07/23/2022,Male,43 Years,20375,2237
07/27/2022,01/01/2020,07/23/2022,Female,44 Years,11871,1487
07/27/2022,01/01/2020,07/23/2022,Male,44 Years,20933,2582
07/27/2022,01/01/2020,07/23/2022,Female,45 Years,12477,1553
07/27/2022,01/01/2020,07/23/2022,Male,45 Years,21485,2754
07/27/2022,01/01/2020,07/23/2022,Female,46 Years,13485,1754
07/27/2022,01/01/2020,07/23/2022,Male,46 Years,22802,3012
07/27/2022,01/01/2020,07/23/2022,Female,47 Years,14392,1823
07/27/2022,01/01/2020,07/23/2022,Male,47 Years,24348,3273
07/27/2022,01/01/2020,07/23/2022,Female,48 Years,15904,2139
07/27/2022,01/01/2020,07/23/2022,Male,48 Years,27027,3729
07/27/2022,01/01/2020,07/23/2022,Female,49 Years,17879,2391
07/27/2022,01/01/2020,07/23/2022,Male,49 Years,30125,4081
07/27/2022,01/01/2020,07/23/2022,Female,50 Years,19974,2620
07/27/2022,01/01/2020,07/23/2022,Male,50 Years,33498,4699
07/27/2022,01/01/2020,07/23/2022,Female,51 Years,21188,2701
07/27/2022,01/01/2020,07/23/2022,Male,51 Years,35334,4966
07/27/2022,01/01/2020,07/23/2022,Female,52 Years,22356,2886
07/27/2022,01/01/2020,07/23/2022,Male,52 Years,37381,5340
07/27/2022,01/01/2020,07/23/2022,Female,53 Years,23720,3046
07/27/2022,01/01/2020,07/23/2022,Male,53 Years,39556,5445
07/27/2022,01/01/2020,07/23/2022,Female,54 Years,25831,3342
07/27/2022,01/01/2020,07/23/2022,Male,54 Years,43285,5878
07/27/2022,01/01/2020,07/23/2022,Female,55 Years,29001,3705
07/27/2022,01/01/2020,07/23/2022,Male,55 Years,48028,6424
07/27/2022,01/01/2020,07/23/2022,Female,56 Years,32461,4158
07/27/2022,01/01/2020,07/23/2022,Male,56 Years,53562,7262
07/27/2022,01/01/2020,07/23/2022,Female,57 Years,36042,4513
07/27/2022,01/01/2020,07/23/2022,Male,57 Years,58063,7580
07/27/2022,01/01/2020,07/23/2022,Female,58 Years,38739,5024
07/27/2022,01/01/2020,07/23/2022,Male,58 Years,63498,8097
07/27/2022,01/01/2020,07/23/2022,Female,59 Years,42987,5473
07/27/2022,01/01/2020,07/23/2022,Male,59 Years,68104,8982
07/27/2022,01/01/2020,07/23/2022,Female,60 Years,46073,5882
07/27/2022,01/01/2020,07/23/2022,Male,60 Years,73442,9645
07/27/2022,01/01/2020,07/23/2022,Female,61 Years,49287,6330
07/27/2022,01/01/2020,07/23/2022,Male,61 Years,77560,10070
07/27/2022,01/01/2020,07/23/2022,Female,62 Years,52402,6867
07/27/2022,01/01/2020,07/23/2022,Male,62 Years,81557,10799
07/27/2022,01/01/2020,07/23/2022,Female,63 Years,55767,7370
07/27/2022,01/01/2020,07/23/2022,Male,63 Years,86182,11299
07/27/2022,01/01/2020,07/23/2022,Female,64 Years,58640,7786
07/27/2022,01/01/2020,07/23/2022,Male,64 Years,89428,11737
07/27/2022,01/01/2020,07/23/2022,Female,65 Years,60462,8080
07/27/2022,01/01/2020,07/23/2022,Male,65 Years,91303,12184
07/27/2022,01/01/2020,07/23/2022,Female,66 Years,62472,8158
07/27/2022,01/01/2020,07/23/2022,Male,66 Years,93231,12421
07/27/2022,01/01/2020,07/23/2022,Female,67 Years,64690,8392
07/27/2022,01/01/2020,07/23/2022,Male,67 Years,95027,12574
07/27/2022,01/01/2020,07/23/2022,Female,68 Years,67141,8783
07/27/2022,01/01/2020,07/23/2022,Male,68 Years,96962,13131
07/27/2022,01/01/2020,07/23/2022,Female,69 Years,69884,9126
07/27/2022,01/01/2020,07/23/2022,Male,69 Years,98237,13426
07/27/2022,01/01/2020,07/23/2022,Female,70 Years,73132,9297
07/27/2022,01/01/2020,07/23/2022,Male,70 Years,101082,13942
07/27/2022,01/01/2020,07/23/2022,Female,71 Years,77279,9917
07/27/2022,01/01/2020,07/23/2022,Male,71 Years,103321,14218
07/27/2022,01/01/2020,07/23/2022,Female,72 Years,82934,10500
07/27/2022,01/01/2020,07/23/2022,Male,72 Years,108188,15056
07/27/2022,01/01/2020,07/23/2022,Female,73 Years,89638,11076
07/27/2022,01/01/2020,07/23/2022,Male,73 Years,115179,16064
07/27/2022,01/01/2020,07/23/2022,Female,74 Years,90509,11427
07/27/2022,01/01/2020,07/23/2022,Male,74 Years,113560,15869
07/27/2022,01/01/2020,07/23/2022,Female,75 Years,86701,10522
07/27/2022,01/01/2020,07/23/2022,Male,75 Years,106851,14806
07/27/2022,01/01/2020,07/23/2022,Female,76 Years,87943,10694
07/27/2022,01/01/2020,07/23/2022,Male,76 Years,105182,14655
07/27/2022,01/01/2020,07/23/2022,Female,77 Years,95727,11486
07/27/2022,01/01/2020,07/23/2022,Male,77 Years,112380,15535
07/27/2022,01/01/2020,07/23/2022,Female,78 Years,100260,11999
07/27/2022,01/01/2020,07/23/2022,Male,78 Years,115425,15912
07/27/2022,01/01/2020,07/23/2022,Female,79 Years,100218,11578
07/27/2022,01/01/2020,07/23/2022,Male,79 Years,112135,15350
07/27/2022,01/01/2020,07/23/2022,Female,80 Years,100586,11431
07/27/2022,01/01/2020,07/23/2022,Male,80 Years,108804,14857
07/27/2022,01/01/2020,07/23/2022,Female,81 Years,102123,11599
07/27/2022,01/01/2020,07/23/2022,Male,81 Years,107629,14416
07/27/2022,01/01/2020,07/23/2022,Female,82 Years,105992,12055
07/27/2022,01/01/2020,07/23/2022,Male,82 Years,107168,14328
07/27/2022,01/01/2020,07/23/2022,Female,83 Years,108824,12096
07/27/2022,01/01/2020,07/23/2022,Male,83 Years,107411,14379
07/27/2022,01/01/2020,07/23/2022,Female,84 Years,111326,12230
07/27/2022,01/01/2020,07/23/2022,Male,84 Years,105517,13767
07/27/2022,01/01/2020,07/23/2022,Female,85 Years and over,1483023,148112
07/27/2022,01/01/2020,07/23/2022,Male,85 Years and over,965774,116152
